Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550
Y_N_c,50,(-0.09060063659686347-0.022082064235234157j),(-0.5298844583552184+0.05981632348167559j),(-0.6566477265064874+0.14016580909270862j),(-0.5835562839454017+0.05907678510153288j),(-0.6161082653021549+0.0690225174730182j),(-0.6053543107767696+0.1766540722907456j),(-0.6076621022997423-0.00994395594928737j),(-0.6086314741303349+0.11742579822661446j),(-0.6024209155550413+0.07946486892869005j),(-0.6114242658316531+0.09729784526754996j),(-0.6051082325400885+0.08604363030028847j),(-0.6072886279384843+0.05563257343957564j),(-0.6080045264605483+0.11281467674277226j),(-0.6056220524541432+0.05973958901102703j),(-0.6076861314159606+0.07651356751279742j),(-0.605857304611837+0.08605510654027902j),(-0.6077232407958708+0.07289007271844418j),(-0.606931985364618+0.07784365704298539j),(-0.6058884887851238+0.06451295342485998j),(-0.607463732875266+0.08597364062337925j),(-0.6064602089201299+0.07337841926403836j),(-0.6067653679770451+0.06529171376677072j),(-0.6065802786524898+0.0768646446426366j),(-0.6066796728898676+0.07432743573310564j),(-0.6069474900354558+0.07006534237719464j),(-0.6061727371619372+0.0670342934500115j)
Y_N_c,150,(0.044301873478062824+0.17714812672613336j),(0.30782092631294833+0.13289374816390348j),(0.7131968408186222+0.07368749120919024j),(0.2204809922526697+0.18695527329037584j),(0.5261193982582276+0.14426657380107652j),(0.49446614178273046-0.025059900558172272j),(0.4377400219043846+0.35034638611523367j),(0.42217882058865364+0.04652231700093915j),(0.4775108543535467+0.1712976738855532j),(0.4791017703686535+0.12093587766571305j),(0.41432239237396545+0.13116437792814628j),(0.4548190728713798+0.1979008901932986j),(0.48910774243868277+0.0951557433410905j),(0.443398759305679+0.19861625172569905j),(0.4387974441843033+0.15038164664815998j),(0.4612640200407562+0.14334339751410688j),(0.4726948085013966+0.17488791827571376j),(0.44006986660177594+0.15288833694075674j),(0.44456999156377874+0.18240180704797007j),(0.4777465062085395+0.14753179281098475j),(0.4524987089919207+0.1690748340619661j),(0.44416690365020306+0.1798482533024264j),(0.45512032217074416+0.1590620509277958j),(0.4690958162701899+0.17205142744195304j),(0.449400621459715+0.17247788210760268j),(0.4461127477636621+0.17796338780136464j)
Y_N_c,250,(0.10301635039320914-0.1574613819902047j),(0.002637350180102894-0.08673379858976132j),(-0.6495173370345625-0.34209308510116765j),(0.314216515642813-0.13234266096144923j),(-0.4163067810298504-0.15100215419444266j),(-0.19653598197957994-0.18730368262913288j),(-0.1432889679642369-0.35876196575306735j),(-0.15343644075854393-0.0578150481506632j),(-0.22199175061980955-0.3020818389405816j),(-0.2050102903700618-0.2013157373970717j),(-0.12393692440929267-0.16622294418606143j),(-0.19683319607679592-0.23959562926079767j),(-0.22553839220073374-0.2165250919307803j),(-0.16085460228559723-0.25521258406656133j),(-0.1661756799760874-0.1854176246378013j),(-0.19503380124875935-0.22721398812687263j),(-0.2034339651562044-0.25624900713426346j),(-0.16145281579837442-0.20078135570716163j),(-0.17344513198902534-0.23266186822322665j),(-0.21383667379236757-0.24124355068277256j),(-0.17616226251110867-0.23508779855110784j),(-0.17019949737482992-0.22498308173255532j),(-0.18613447869804148-0.22466941457185696j),(-0.1997764104705641-0.256337867372581j),(-0.17455000875917873-0.22708915146609288j),(-0.1729950350597939-0.23072117990323002j)
Y_N_c,350,(-0.11731944679770932+0.005123209808632541j),(-0.12980353339539794-0.10061656411874578j),(0.38949251673082874+0.5127197002187371j),(-0.6079270668772185-0.15440773774578287j),(0.4544396852691475+0.07173084946347294j),(-0.26444022222150504+0.3078715961894042j),(0.03273369906076164+0.06787091286108227j),(-0.009469080663608982+0.011814397401092058j),(-0.01491493323443414+0.2649237015669562j),(-0.048233888561066515+0.10182138367146765j),(-0.03624828648240337+0.07617682992549746j),(0.027163446588075242+0.11968896603235486j),(-0.05108775219105904+0.17990462864833592j),(-0.023053081904513655+0.12821033425388317j),(-0.006481500601817018+0.08109650721921641j),(-0.021386114050939486+0.15869107189788598j),(-0.021636789385586046+0.1504283365970124j),(-0.023176383271476374+0.0983988651264384j),(-0.003948643335522058+0.12375528525191695j),(-0.023881917407249473+0.16352539683066475j),(-0.025433616600141165+0.1314844038860875j),(-0.008097741333302941+0.10846668691186273j),(-0.014529200781039645+0.13337058509173938j),(-0.022433839279700045+0.15974980028009628j),(-0.0167843415802195+0.116345779279714j),(-0.010772327266791441+0.12226934833316203j)
Y_N_c,450,(-0.0058701880761921794+0.058084572460151786j),(0.049874308104260176+0.18374222958578962j),(-0.06241518402300447-0.4265031444397152j),(0.5132153114393716+0.3618998751183392j),(-0.5601855521906542-0.1070228537446154j),(0.6822084806840066-0.19939898931128786j),(-0.22781204929087953+0.2343700611110321j),(0.09062907110825165-0.07739916969103834j),(0.10936901030611686-0.09589946293633879j),(0.13390174069871238+0.06890227909276325j),(0.023820359863791184-0.03433794726665349j),(0.02323918975238304+0.003247196139612165j),(0.17651166139202346-0.028680229478113904j),(0.02500132095560136+0.013354194879429987j),(0.04093799839309075+0.0002053139869760077j),(0.0932834956624697-0.0370276382676496j),(0.08377462790397029+0.017910925752460123j),(0.050021797305651414-0.0011526887548305364j),(0.0345684138452077-0.01023528694751083j),(0.11134661281918554-0.009171525429330675j),(0.0615135857818264+0.00016839037668377825j),(0.034708543127918025+0.0057882937916595755j),(0.06910179233420521-0.014028409306669785j),(0.08313668771582977-0.0013578241236680013j),(0.05068251454337749+0.006541641671814211j),(0.042807299225739844-0.0057305307726764915j)
Y_N_c,550,(0.07401351261593814+0.011591638163169432j),(0.043010026406033464-0.0812069728074067j),(-0.09990142307296959+0.1358551256448597j),(-0.22793335648117558-0.29211032902145423j),(0.5175736928152709+0.2431838128223645j),(-0.8018571360912865-0.06662733714304j),(0.5520962896398288-0.28605556214138317j),(-0.24708606856129106+0.23799119627626186j),(-0.012209338743278305-0.11975910719497104j),(-0.05678990627288943-0.12029851347525354j),(0.023220486676391944+0.09064090072861782j),(-0.04007235687616834-0.06453752940841931j),(-0.09275236300378199-0.08149952997247929j),(0.05028813352800241-0.043658528682011206j),(-0.03702638658154964+0.0020420642742173924j),(-0.04354128419183611-0.039851695568453346j),(-0.016923177378955923-0.09496239462763507j),(-0.010930513666396335-0.0047436215773421515j),(-0.006103643316099659-0.02801697859188064j),(-0.051725130044494444-0.08198710879326178j),(-0.0004778724166610884-0.04189933685051996j),(-0.004775676353422445-0.029085524814674923j),(-0.031176134980019383-0.037635733269017084j),(-0.016044215258629205-0.07759514740545578j),(-0.007483288857485301-0.037040429550925735j),(-0.006556929781386573-0.029101387711750346j)
Y_N_c,650,(-0.02277041653721981-0.05950240062306289j),(-0.015679905524581646-0.05900998539835451j),(0.02362471912373353+0.11440313306170152j),(0.027839816061824094+0.04261240531092066j),(-0.2842247537304821-0.28116923061689475j),(0.5732745080872795+0.24631357894463463j),(-0.7121178745693381+0.0853127302860713j),(0.5006131571951127-0.29839737146245054j),(-0.23859160907396648+0.2774275744018011j),(-0.009358783718455704-0.0401542894450927j),(-0.007494009751110194-0.1117052589108718j),(0.054241563305114586+0.09460364376968955j),(-0.07452313965245408+0.029909924116263226j),(-0.058490099524068105+0.00035542455261164776j),(0.04958696110629575-0.01888176540953206j),(-0.043200201195757196+0.04074297938753385j),(-0.04357249758734414+0.04098137097126352j),(-0.001210085025682439-0.028622786003249183j),(-0.00733317300149627+0.02638579031706837j),(-0.040616064386268254+0.04808258860753233j),(-0.039021605356668+0.00442550421236267j),(0.002697517715407759+0.0065325975681088675j),(-0.015542722337453858+0.023414254384021536j),(-0.05217670247098012+0.04151811562690074j),(-0.012376420397950344+0.0028380424161822877j),(-0.012769900268987416+0.013767151409397847j)
Y_N_c,750,(-0.02652785867988214+0.014541422698673317j),(-0.06154256770559152+0.0828266228138579j),(0.12418213345460945-0.14721735915537865j),(0.0049256695170510865+0.14264698227944322j),(0.0528968595009751+0.12201925169504656j),(-0.216160747823263-0.1863369238932502j),(0.5750793102249564+0.1399822218420767j),(-0.6638910231980278+0.14868462014501121j),(0.5188489791489315-0.2924328755653633j),(-0.10988237344237123+0.28902936372491705j),(0.007194235168424585-0.02832462140904876j),(-0.029208021099569506-0.07803486445405895j),(0.13383574012342858+0.11734314338404872j),(-0.016328469429878666-0.002293042817503659j),(-0.0299123705830893+0.0038485839736941228j),(0.0868550772119715+0.004079023787025911j),(0.012836018684783384+0.04578250636749273j),(-0.0034834616747616764+0.022052564345943815j),(0.010599346382309487-0.026084789944845775j),(0.057320515921098894+0.04399929968235725j),(0.01928790022863189+0.02311910705341737j),(-0.01411209117364936-0.0023268664073674266j),(0.034035107752154056+0.008575771524718213j),(0.039073666821051255+0.026253553166201503j),(-0.0018482816696658326+0.017466063687081344j),(0.01111844599217493-0.005359743931193633j)
Y_N_c,850,(0.0026492607719593585+0.03174667767371204j),(0.06014538671003224-0.013802716584435763j),(-0.14012649331408572+0.029765955405764488j),(0.019113988196092124-0.14244826972720362j),(0.0037816601067288415+0.08879733887318102j),(-0.005516766404385254-0.019447221535188675j),(-0.2719385417601846-0.18483504063099154j),(0.565442134386775+0.07308082542415638j),(-0.6629384255153751+0.16274651610281912j),(0.38857209225771056-0.3913876129954396j),(-0.15309534051617557+0.26019352354034575j),(-0.0014263018251996732-0.05554525261547323j),(-0.0428064443980421-0.1551696107879879j),(0.06855742967428292+0.07508101953352735j),(-0.047836655195101836-0.007589394892879617j),(-0.05180940235847851-0.033808834227176475j),(0.05580422468544598-0.055848370622612026j),(-0.024393267093922383+0.015982518673448538j),(-0.016299959624144243+0.014235715805546669j),(-0.0010864546417454369-0.07813512672130425j),(0.007969844513976969+0.0027117291302139338j),(-0.0009401555585674501+0.0074212409829075305j),(-0.026191729917268855-0.02454648315753724j),(0.0207410411126312-0.034354136622001506j),(0.0035055282980365372-0.0039728554729300545j),(-0.013468715519034474+0.0071080142331355406j)
Y_N_c,950,(0.027802876714404675-0.016144710074255733j),(0.018184807600851286-0.025340742545465426j),(0.014097336189686435+0.04443151174986814j),(0.006101203390942811+0.036609573526052576j),(0.05914670486205962-0.15606151110869024j),(0.02877716532309111+0.15064581066663907j),(0.03463384743523128+0.04982222965117147j),(-0.276520189721972-0.15037144642382103j),(0.5699172662084315+0.0006094074768799642j),(-0.603516154378393+0.24430125268514866j),(0.41843028269501636-0.3802460439878375j),(-0.08468963043936736+0.27655050440733253j),(-0.035790569596399736-0.02997201423229889j),(-0.032562049879381307-0.10394184003736397j),(0.10234538560255148+0.06427622525576197j),(-0.02987640114162724-0.0012450714043449637j),(-0.05258845881967429-0.0001186778275505771j),(0.0655697457852826-0.02427064807613957j),(-0.0003114534796101271+0.01615088551118201j),(-0.03563042812724076+0.01897089303467626j),(0.0003383730105395477-0.03781874568983842j),(0.023554476726699025+0.011867604235787827j),(0.004553916518670971+0.013297953703691743j),(-0.04215488159652977-0.012354682120833281j),(0.018735344357750074-0.005848463089619763j),(0.0118515441743858-0.00014217988673190457j)
