Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550
Y_N_c,50,(-0.09060063659686347-0.022082064235234157j),(-0.8730957650741986+0.784048564789015j),(-1.0496755554386417+0.7004171253251049j),(-0.9419430803522144+0.7529083208399783j),(-1.0160070350241621+0.6732443016118194j),(-0.9340811766691453+0.8163509813454378j),(-1.030048526195103+0.6329022785400438j),(-0.9646459029494766+0.7624748195973766j),(-0.9679696182773578+0.7433602599072683j),(-0.9899009328058055+0.7185584841189296j),(-0.9713159828085075+0.7421941254395062j),(-1.0014743295617454+0.688112432928296j),(-0.9664131949088633+0.7566224759511763j),(-0.9885546646029653+0.7112229544605131j),(-0.9852864766667023+0.7209566438896479j),(-0.9702885244381494+0.7455625233299943j),(-0.9935435184876915+0.7049528834199988j),(-0.9801735444398314+0.7293470013241606j),(-0.9858938659254368+0.7164951721395448j),(-0.9785551083922962+0.732982259940001j),(-0.9812435740950736+0.7264887277816472j),(-0.992751162892939+0.7054896798339795j),(-0.9773987173509723+0.7338927813188488j),(-0.984609252202261+0.7201983577523687j),(-0.985718159003937+0.7191828812768617j),(-0.9826045332025786+0.7236135569401256j)
Y_N_c,150,(0.044301873478062824+0.17714812672613336j),(0.8141216305349517-0.3941226467547516j),(1.2168904680220465-0.05631650604556775j),(0.7170960736923515-0.17244306569753498j),(1.1319415135313462-0.0780299126731165j),(0.9027449366926236-0.3387327676975547j),(1.0375597056988712+0.0703930619793244j),(0.9167142302499772-0.24179131264164355j),(0.9920156145455299-0.18725681547095652j),(0.9940950410794628-0.13324037621681947j),(0.9122187441405698-0.17756354738501737j),(1.033159243144668-0.07396173970839523j),(0.96687237128459-0.218871893573593j),(0.9710467369839731-0.11075729525765592j),(0.9668812054705672-0.1404800818390176j),(0.9729668408917568-0.19470374876946817j),(1.0102828512968764-0.10447948692876365j),(0.9508307650714399-0.15412379832027853j),(0.9828167566289187-0.12956699884596876j),(0.9916189490061982-0.16863674590023683j),(0.9655730664201381-0.1477752782514884j),(0.9868989270378843-0.10484558733671219j),(0.9759188450637056-0.16901427181693338j),(0.9918165672466855-0.1374380340533783j),(0.9724140151521653-0.13354589611054307j),(0.9706948605198072-0.144062853379249j)
Y_N_c,250,(0.10301635039320914-0.1574613819902047j),(-0.48306623184757613+0.07693802540130903j),(-0.9679990775053101-0.46613444096486084j),(-0.052688519705975295-0.13227613501211247j),(-0.8946615496324617-0.27277570043753085j),(-0.5099008160647862-0.15555972117422284j),(-0.5707395135132098-0.40404507571493276j),(-0.5197252910661814-0.10534902137957095j),(-0.6421570207110164-0.2733259471333849j),(-0.5809492153736321-0.24806013026166163j),(-0.4834536353913655-0.18608440765114295j),(-0.6448270853238744-0.30800040505716475j),(-0.5906199160434169-0.20487132372890637j),(-0.548450224469269-0.2650906271779652j),(-0.5558141599686419-0.2233578574863513j),(-0.5986180112762083-0.22513099721291488j),(-0.6090869044431544-0.2868378739316531j),(-0.5337163538535459-0.21665030769100196j),(-0.582819607568166-0.25518506575127303j),(-0.611502868463997-0.24266650454228478j),(-0.5565670466878266-0.23759296086526235j),(-0.572856848455561-0.2634880723155335j),(-0.5876423752833825-0.23113350049152875j),(-0.5973839638868191-0.26175283628111967j),(-0.5604171283884551-0.24200630430032585j),(-0.5665607787316991-0.2384181799487975j)
Y_N_c,350,(-0.11731944679770932+0.005123209808632541j),(0.10031294330049056+0.02643531621867792j),(0.48848078341836143+0.6273362813741028j),(-0.503182337107127-0.017015116993104474j),(0.6280386844446638+0.2729134639826004j),(-0.11450961402805204+0.4099216238228868j),(0.1572258862170529+0.18444815836905873j),(0.10331689527805006+0.1703184539080109j),(0.15309444542653225+0.40011255576658505j),(0.09022740450832169+0.22674472002432478j),(0.0732435208926466+0.20612579419725977j),(0.18162017392160393+0.28512552925101387j),(0.09790626580778897+0.2970196459797617j),(0.10423255233168373+0.24341453861472145j),(0.11649464580947037+0.22015587177495427j),(0.12319592483541518+0.30718694616671466j),(0.13089920294180696+0.274797627662858j),(0.0944310718251083+0.22342016768162817j),(0.13119266705130286+0.26494536286791887j),(0.12661947695049441+0.2941796248480924j),(0.10283837174167473+0.2512141475932556j),(0.1253539739866085+0.2389543589681955j),(0.12126610302576458+0.2769658495560237j),(0.1249442160267444+0.2818763594556974j),(0.10969918023237792+0.23929250550685194j),(0.11669141733871177+0.2528404992715534j)
Y_N_c,450,(-0.0058701880761921794+0.058084572460151786j),(0.12167009206020699+0.02450712339468695j),(-0.07677936885367068-0.41896294575956233j),(0.5739946360211018+0.30215653592623837j),(-0.5243713120792467-0.14671538355667274j),(0.6633044073878032-0.2960080781470727j),(-0.17853248796892585+0.23061849802966813j),(0.13652945108194287-0.14243632697998185j),(0.15976679238063593-0.18431894959309153j),(0.142625903065726+0.02916383280084305j),(0.06455072575646363-0.08702073439145046j),(0.07001212795946772-0.033889237528191354j),(0.19026541390084906-0.11075866519229609j),(0.06566497926166516-0.026998253971082353j),(0.08541348059973115-0.044479876176547944j),(0.1504425053951024-0.12140069215083268j),(0.10402743698616895-0.02279602406506902j),(0.09172087110102636-0.05211262765624827j),(0.0884331339795981-0.06242851013468858j),(0.14744042549841607-0.08102282512471798j),(0.10189544754359289-0.05565575245851017j),(0.07244079770658485-0.026174304770283274j),(0.12758536272593446-0.08545652633197896j),(0.11508452020027134-0.059008291600638065j),(0.09242396887667341-0.040737205933482096j),(0.09615261760178948-0.062361361133531086j)
Y_N_c,550,(0.07401351261593814+0.011591638163169432j),(-0.13735020925161243-0.07595529456578824j),(-0.0681419184833708+0.0631640170452172j),(-0.28363358549699613-0.34027667183682364j),(0.4793202655990804+0.11048597704501764j),(-0.8358574758800187-0.04501122203334836j),(0.507138206006413-0.3738376764041453j),(-0.2839910231915918+0.1863580818946296j),(-0.11545767335876413-0.16103340651928755j),(-0.08188789241903692-0.17366914994335456j),(-0.013754396780257784+0.048721883124432326j),(-0.09313345866515263-0.1726121735265086j),(-0.14889562333345788-0.09028356287845327j),(-0.00423979976884453-0.09444403451769263j),(-0.08139809670673986-0.060249643286142546j),(-0.12622868370705773-0.08589634557044043j),(-0.06530746647798706-0.15771729707788337j),(-0.056628550398927245-0.046588885726978654j),(-0.07078450151389064-0.09466906096616375j),(-0.12269927477092439-0.12052860245199672j),(-0.05772446212188773-0.07986658163897911j),(-0.05059835291229328-0.10196676983837391j),(-0.106485422534614-0.08800097320619328j),(-0.07973574330035885-0.12184465681564148j),(-0.06031720712807046-0.08516044770768869j),(-0.0714030102302146-0.07800312876168644j)
Y_N_c,650,(-0.02277041653721981-0.05950240062306289j),(0.053472767617153895+0.042733032448540945j),(-0.014736593633302045+0.1657921366412725j),(0.015318075547232734+0.10055092527640021j),(-0.32589043125927636-0.1374361792148212j),(0.5924853578489006+0.29172123367336716j),(-0.7200176321533096+0.14992064528353807j),(0.46732814471972556-0.2325295917854588j),(-0.21046407496273717+0.36927354406180735j),(-0.016626601532331708+0.028061119520003033j),(-0.025300225875320864-0.06118257816428014j),(0.03215158488014161+0.209218273044516j),(-0.057764135890891695+0.08754714984147276j),(-0.05388541972277856+0.056755030182680986j),(0.0330154973436408+0.04747275948833504j),(-0.04506078573877179+0.12550271272436292j),(-0.0356308193978962+0.12205922684060813j),(-0.010952477150986187+0.022139407654063865j),(-0.014312271413373668+0.10507774153791226j),(-0.02941066833214888+0.12337792219061347j),(-0.036361107159448125+0.05986063321433015j),(-0.002667697228390179+0.07957748293167712j),(-0.02102748941915976+0.09951694981441582j),(-0.038778973348276666+0.11298553040612411j),(-0.014357270156751006+0.060075922926714334j),(-0.015629155442330053+0.07637595174516576j)
Y_N_c,750,(-0.02652785867988214+0.014541422698673317j),(0.008524426844572938+0.03592204864880383j),(0.11963564319773863-0.16282889870211603j),(0.03231911015767963+0.14095977213926184j),(0.09278895816609176+0.0818188676144846j),(-0.19998034620581764-0.2448083184038691j),(0.5803439418065236+0.1432287486057108j),(-0.6200041649531226+0.13681976530351517j),(0.5560706741064317-0.32134179700854987j),(-0.09922715274753759+0.25902027030908803j),(0.03182210915995344-0.03677110651086557j),(0.00036126909831764634-0.10103890231334363j),(0.15887366300134942+0.07595878326305293j),(-0.004069061550915241-0.008635033517122668j),(-0.004470087425474444-0.004355314683805145j),(0.13779818918597414-0.01683751255314269j),(0.020973518332676824+0.014898621149812349j),(0.020901623753874738+0.014697111494055492j),(0.04107710397270782-0.03595276232316221j),(0.08895708261735386+0.015035397482956904j),(0.04239905357955251+0.01020119789200093j),(-0.0038486580428204846-0.013253124065340662j),(0.07920745217079107-0.0037048791064861887j),(0.05821717421360047-0.00023200356429057444j),(0.018495608780283595+0.008782378921763877j),(0.04152122401493848-0.012185339155580548j)
Y_N_c,850,(0.0026492607719593585+0.03174667767371204j),(-0.016033750715046566-0.07568371785310463j),(-0.09224311768759164+0.04225449469864753j),(0.029014928149898096-0.17174290424971086j),(0.050939455382620985+0.06163036890247768j),(-0.029775147303543414+0.00524549197189271j),(-0.24081299578700166-0.2101466920026968j),(0.5712932948564429+0.058101028940685376j),(-0.6824021434513116+0.11354984372244739j),(0.4057132549397232-0.39260693547473163j),(-0.1428878651925427+0.24970914400933192j),(0.035813868314458555-0.09028979874362376j),(-0.06599011772357581-0.15480547310607798j),(0.07811866490910833+0.05034793449025862j),(-0.03278641531810402-0.02838801718434165j),(-0.06442625393193681-0.07249562931036169j),(0.07228406394668647-0.0717346724316492j),(-0.02029787143033169+0.001435431241396816j),(-0.005795609382630906-0.02067082840777489j),(-0.013359545501244284-0.10190697920210023j),(0.005772679229515995-0.016383971142412454j),(0.02500151213330996-0.016795867231675938j),(-0.03339313118832619-0.061214640912390726j),(0.01846348798070342-0.055241030674704684j),(0.009056596086361939-0.02449889853606588j),(-0.013545967122247489-0.021811041748534366j)
Y_N_c,950,(0.027802876714404675-0.016144710074255733j),(0.008789467823791983+0.04811232151418978j),(-0.03283798030834742+0.0250791541099059j),(-0.02344144240841968+0.049566269185511595j),(-0.04116916483379128-0.1467955713169644j),(0.024516682435631907+0.16235930445488844j),(-0.0013513696178266757+0.05368850839559769j),(-0.31595599318700535-0.15709348966189196j),(0.5413526275689838+0.05351709171275646j),(-0.6395141314103132+0.25027812448802145j),(0.39022755421783245-0.38301364111131764j),(-0.1616349018751905+0.2930408577918467j),(-0.044910996391030265-0.011623409318820641j),(-0.05422293747887209-0.08761659847073305j),(0.06590991024815121+0.06795647371314814j),(-0.06997344239532154+0.02426296983402114j),(-0.09121566571887764+0.023921805975019438j),(0.04308122524786572-0.02334129876052275j),(-0.04133248691678075+0.034059093325172145j),(-0.06175911404519343+0.04564418776807193j),(-0.019878033307222074-0.02507151427062117j),(-0.01604991250591628+0.02651763591000185j),(-0.03125287789691676+0.03156999593871847j),(-0.06765794084356086+0.014312588704192192j),(-0.0049935390033418+0.003822001635175056j),(-0.014727663997637369+0.013228338605903538j)
