Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550
Y_N_c,50,(-0.09060063659686347-0.022082064235234157j),(-0.16555187252942444+0.0334533947601411j),(-0.2943067249073828+0.1040839287910862j),(-0.21792847606968807+0.0630958262692806j),(-0.2559477716047051+0.06251122368715353j),(-0.24161456938386558+0.13434970450429998j),(-0.24904151413775863+0.012628046544943296j),(-0.24474740942565915+0.07810070237660756j),(-0.2421145085175545+0.08109367370459529j),(-0.24811590117445595+0.05959734461378748j),(-0.24316100643360591+0.05842337062683675j),(-0.2441264568913942+0.055524148491423356j),(-0.24461573011266563+0.06766243874990607j),(-0.24432454625201416+0.05534589310396253j),(-0.2435432257796361+0.04644761040546955j),(-0.24373527880799598+0.059575556885455225j),(-0.24399124560608954+0.055526208382089146j),(-0.24383020993080712+0.04560626669147038j),(-0.24333483816484633+0.05129792493422831j),(-0.24324529150581237+0.051359773885912195j),(-0.24390997264147235+0.04735495097598217j),(-0.24300652660661975+0.046083285108952876j),(-0.24304019923902603+0.047565723034459j),(-0.24341076871452336+0.04665619336925193j),(-0.24311916568043015+0.044841693526335664j),(-0.24305315106244538+0.04479898453354048j)
Y_N_c,150,(0.044301873478062824+0.17714812672613336j),(0.019264736261844297-0.010243258773574846j),(0.40890402681509436-0.05577729348499201j),(-0.07052114776474612-0.01508206778128779j),(0.2500895150649144-0.04637469808744281j),(0.19444859676835938-0.1374722291285747j),(0.1629632482765238+0.0984418914551185j),(0.14363958143531091-0.06645455901512207j),(0.20079278095858671-0.03460496666082398j),(0.18683211030230368-0.0006707007379969548j),(0.14223235858424133-0.007773294377790599j),(0.1703101570000888-0.0005710796177781851j),(0.19631518383414764-0.01037035658320335j),(0.16225746853485995+0.0058726480565749325j),(0.15922802060408928+0.01877656523761965j),(0.18041555458053016-0.002093871008221024j),(0.17681996944596398+0.010636696430373096j),(0.16373324227589123+0.024386460495617768j),(0.16730485718915786+0.012101047231837084j),(0.17653230433792974+0.01769699134172042j),(0.17167684087541274+0.02444390802974146j),(0.16436232449518645+0.02440867005290059j),(0.1729977840671429+0.02320796227921517j),(0.17366267249802683+0.02685072742672103j),(0.16804309716334317+0.02931606471662153j),(0.16922452186916354+0.028193754751186045j)
Y_N_c,250,(0.10301635039320914-0.1574613819902047j),(0.13113978897877396+0.10183662485930031j),(-0.49361234434199647-0.13320254229230424j),(0.44745879196438143+0.08664421707397957j),(-0.30993000451947444+0.09026068582837828j),(-0.046736917742000686-0.006100917805356399j),(-0.040600840934776415-0.06790714693062493j),(-0.03667379147589879+0.09917365331152024j),(-0.11647584403012722-0.054124202190098315j),(-0.06823595869861927-0.017481995884790626j),(-0.01900152709430466+0.014619767858552688j),(-0.0746769443179905-0.008619844477546486j),(-0.08808873544074894-0.04542343773336061j),(-0.0434328462809141-0.01735905473617687j),(-0.04808704441030818-0.016752209000480047j),(-0.07915932212602944-0.028932145968057266j),(-0.06246815910314362-0.04109458552429614j),(-0.04896475307322997-0.029926179682817633j),(-0.0596799642773541-0.02539188972020592j),(-0.06758794304235459-0.04651250581564585j),(-0.05749884120443348-0.04179245495446147j),(-0.051667004359015264-0.03563547665086357j),(-0.06588451340497065-0.04430653006972082j),(-0.0616665356005012-0.04890771011493514j),(-0.05431875284379987-0.04527589317106847j),(-0.05932105106212554-0.04351775421215587j)
Y_N_c,350,(-0.11731944679770932+0.005123209808632541j),(-0.12729084131292204-0.20282873316554148j),(0.38842778200768796+0.3519856931691585j),(-0.6288128362529364-0.23742014183309612j),(0.46667909990758083-0.07000790353620082j),(-0.2637213294206722+0.17588978170926514j),(0.038414560051788046-0.08938937075951535j),(-0.0008849832397623306-0.07964023794529321j),(-0.0011600130310182545+0.13086143236428055j),(-0.043263529021228216-0.023764647969007808j),(-0.021316343799103125-0.02797575246590953j),(0.018771471977067918+0.008786900941220362j),(-0.040954085432161044+0.05628874933018612j),(-0.02392278979464128-0.005705653014548774j),(-0.003792388758505119-0.007364778169475811j),(-0.007829911524392304+0.0373926091064353j),(-0.028898849056078656+0.026222406924818534j),(-0.013412026358366358+0.00041147437808607015j),(-0.0062437932459349825+0.015221438379664809j),(-0.01760422929160628+0.036521202023107664j),(-0.019487900819970125+0.015641394782078225j),(-0.012238024972521595+0.0141032352866638j),(-0.008200550841791884+0.031019819262831455j),(-0.018120394628165424+0.02755048668783371j),(-0.015954509795615763+0.02020218131318631j),(-0.009126434049905398+0.022698041696184525j)
Y_N_c,450,(-0.0058701880761921794+0.058084572460151786j),(0.01582216858876851+0.16207995549558762j),(-0.12941753025499356-0.3993050784467615j),(0.5125630948781298+0.30191814513402565j),(-0.5697026652607844-0.10335778920663251j),(0.6153779378954936-0.18612587183104576j),(-0.21842525382778055+0.2327306648968687j),(0.05199402316255701-0.07907360270303652j),(0.09479422833612589-0.10381583109210164j),(0.07975101250278457+0.0778551230093932j),(-0.008162525593312358-0.02897833552914878j),(0.022179275944944225-0.02855224271818693j),(0.10889819494484389-0.01333456178444168j),(0.018205762477111663+0.007345541576577292j),(0.011946538229045513-0.012103535554970271j),(0.05871325120045617-0.03377297819350681j),(0.05123736780341811+0.0010352651310765436j),(0.016687454791501345-0.0006302708444154657j),(0.028986085183826324-0.023255538430022694j),(0.04859915350788436-0.01643021346101387j),(0.032468555268585976+0.0017877938272337192j),(0.021206669045593547-0.014379718329258865j),(0.03486308218067435-0.02084496677466154j),(0.0379470978837285-0.006585858581244116j),(0.0248712231533646-0.007783622848855915j),(0.025785064991256917-0.0148455843207424j)
Y_N_c,550,(0.07401351261593814+0.011591638163169432j),(0.03852447717671042-0.004722135516852053j),(-0.07631389424666622+0.21995280393722383j),(-0.23973363375496742-0.19238543913220912j),(0.45696571596533103+0.30268297240617525j),(-0.7690087156221335+0.009546206075009105j),(0.47413863768635417-0.2214351669040916j),(-0.2423733426831989+0.2814267483156087j),(-0.05817538747566158-0.06010037435228319j),(-0.04388471701015831-0.05157950486397677j),(0.013476897882588339+0.12416494375653443j),(-0.07738718341130642+0.020896925334046593j),(-0.06459121899532622-0.021625307577205717j),(0.005003063672732051+0.03013160423278834j),(-0.0371713174353198+0.053203634308734406j),(-0.06389504664050612+0.014187746625603109j),(-0.02020200942829413+9.737632861214697e-05j),(-0.015197977513637568+0.03571507080403585j),(-0.040646400418632836+0.035787522178574734j),(-0.034365682084737836+0.006118887540910582j),(-0.016331258798376283+0.014806310117106704j),(-0.020649084168242536+0.035660195904852275j),(-0.035350238017002024+0.017640036711706653j),(-0.021908355864612972+0.009564284251497138j),(-0.013284637759873524+0.022980892862310563j),(-0.02579457740633583+0.02393604895670455j)
Y_N_c,650,(-0.02277041653721981-0.05950240062306289j),(0.013199915474480475-0.10068009221358279j),(0.08066313541302843+0.023076361444219606j),(0.02247362149824655-0.004509139960003034j),(-0.19299399627897018-0.31927372655641184j),(0.6061849644238334+0.17485357173533575j),(-0.6122941708490098+0.0483330725857103j),(0.5244976353469322-0.32306462551920234j),(-0.16987020200401723+0.25759867542324416j),(0.0337370627369809-0.0992108018281918j),(0.028984978548130542-0.12425495225767152j),(0.09419790526848998+0.04455019858927235j),(-0.03856778934995799-0.019744213722192757j),(0.009281033865386168-0.055620191619381434j),(0.06775423633186536-0.04571896049302495j),(0.01622052259658364+0.009666088445594292j),(-0.007292608612486902-0.030240379760331764j),(0.0307796062515127-0.049431470118662106j),(0.036094989869824796-0.018381428004458383j),(0.00014269847896085632-0.009772344794605394j),(0.010043288971408762-0.037147406499797274j),(0.024564608133841613-0.03385959443538122j),(0.017423168887974162-0.007275000181149554j),(0.002784488266329237-0.022987820560790826j),(0.01094687508881308-0.03191305763208402j),(0.021378849424777177-0.019769562981117678j)
Y_N_c,750,(-0.02652785867988214+0.014541422698673317j),(-0.06157496884297713+0.06815912839064352j),(0.05061755774243852-0.12944001252206142j),(0.04923604454747639+0.12509078327001602j),(0.00898438755708984+0.1320115754032174j),(-0.2631989950895129-0.18511806532285474j),(0.5215825178171356+0.1453455826846331j),(-0.6783226951453928+0.1411832935267221j),(0.49012484646061816-0.3161660651016503j),(-0.15268793153679475+0.29008729150879226j),(-0.016305460301502293-0.04314077020517924j),(-0.022788199182642972-0.07557050073798399j),(0.08580158356119133+0.10692053167641377j),(-0.04434428779583149+0.01409697141687403j),(-0.03358031779444364-0.0038695922244078008j),(0.051508050235528305-0.0032957109990833706j),(-0.0014837828198811193+0.04652949568470316j),(-0.02455527783796951+0.01359080971530817j),(0.005555170353762253-0.011065006918784504j),(0.025550465509866796+0.02241920917339794j),(-0.010222407834947473+0.02795186418575225j),(-0.00573129041598587+0.001194754801106337j),(0.01701754965075948-0.0010163070066498468j),(0.007911488635613308+0.024273506471868756j),(-0.00481022242282845+0.011441895488560968j),(0.0021676768962924165+8.235159066947344e-05j)
Y_N_c,850,(0.0026492607719593585+0.03174667767371204j),(0.020734457114682605+0.013980398157370637j),(-0.13420979470742725+0.06826500733842013j),(-0.033646087999052776-0.09942021604083798j),(-0.018465772954551533+0.06000035699155392j),(-0.007513545752056168+0.02902573208802301j),(-0.27531062327851535-0.20827468926657566j),(0.5546734223135337+0.08662017746016785j),(-0.6748129752123859+0.17458447546354655j),(0.37908018373218566-0.36135461641741845j),(-0.15252847684896192+0.2735313313222374j),(-0.04739641114566805-0.049855776712747955j),(-0.03840944584166835-0.11228452002589531j),(0.038588963394673104+0.06580752778378653j),(-0.06383920077558104+0.007495907097054061j),(-0.0648937958365077-0.03095315020461002j),(0.018321366608291527-0.01883151938722099j),(-0.027862001098028073+0.025440613735754562j),(-0.05221982603107006+0.00433000561790598j),(-0.02401006939828091-0.027238132167048186j),(-0.0076402429057783015+0.005563153890182822j),(-0.03658720354920862+0.017147062388401826j),(-0.04035228782242301-0.00927894798735327j),(-0.014438866018463488-0.008729296776325163j),(-0.019854792685056296+0.014223234326156626j),(-0.03508642111243166+0.0047056691786330805j)
Y_N_c,950,(0.027802876714404675-0.016144710074255733j),(0.05171083789961115-0.03173951253037129j),(0.08138715019829447+0.02558312426945861j),(0.018317033759315243-0.00019791677498122632j),(0.10042113706355756-0.09425650923720029j),(0.07773475060104357+0.11961160106962387j),(0.05475778856963493+0.11394184367158985j),(-0.25885895527605624-0.14911647046656812j),(0.5700215259342646+0.028074450853095328j),(-0.5540443282014613+0.23637204367898257j),(0.4196219492327506-0.3747748554016197j),(-0.04838015327210282+0.2847143557530449j),(-0.0020824887804110235-0.04696483630893713j),(0.017577901009774143-0.07738174935249748j),(0.11661307833680287+0.06144436136384806j),(-0.0031128676815783893+0.027868006054110255j),(0.002952130845321068-0.02127220015350702j),(0.07562790152330043-0.014952884817454031j),(0.04103623956259177+0.029978261482777165j),(0.007132889082591881+0.006024969519927325j),(0.03743868043752868-0.021742203360771633j),(0.05314274886626023+0.003485353390921325j),(0.023802506059978905+0.019955701658685217j),(0.020243534768478563-0.010209712651983081j),(0.04006224024652206-0.012220458066269476j),(0.038427559946623+0.01123376843624706j)
