Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550,2650,2750,2850,2950,3050,3150,3250,3350,3450,3550,3650,3750,3850,3950,4050,4150,4250,4350,4450,4550,4650,4750,4850,4950,5050
Y_N_c,50,(-0.10190524831118652-0.012664288397699945j),(-1.7569628425625754+0.4308537810233174j),(-1.9247289216510186+0.4692015435697243j),(-1.8093113418898032+0.3239686132097708j),(-1.869473740210648+0.5570848761895268j),(-1.8401604457371175+0.3825201193361288j),(-1.8593453255043433+0.4296401805546121j),(-1.8348996052523392+0.5343834050298445j),(-1.873378495751846+0.2816181852628779j),(-1.832874945618486+0.5598907671704068j),(-1.8653982474187478+0.3306213156797722j),(-1.8495651851842498+0.45494931880088185j),(-1.8459126051564299+0.4505562158886436j),(-1.8568059117623887+0.41819758950390307j),(-1.8474672174826934+0.4404773918234322j),(-1.8539593480418692+0.4234998886824277j),(-1.850466234184114+0.440321734395967j),(-1.8581018523102366+0.3738990826045251j),(-1.8479644563143756+0.46585857058497937j),(-1.855583946820835+0.39485514504157915j),(-1.8514023619393405+0.4344561993323493j),(-1.8499423065074942+0.4415434441026203j),(-1.8573886280146326+0.38982066130369286j),(-1.84819579353734+0.4529448175991192j),(-1.8565899758007436+0.3949657147901603j),(-1.8527735423066556+0.4223950045865523j),(-1.8507253262917593+0.4331018716435407j),(-1.8540619170854669+0.4170985076862401j),(-1.8524842104233294+0.41995186270558194j),(-1.8522363067954244+0.4270225541301091j),(-1.8527807054352083+0.4228253655656483j),(-1.8553186524429828+0.39995008501903373j),(-1.850715947756537+0.43920530775608546j),(-1.8543968137514495+0.4085264115969187j),(-1.8530261700206943+0.419249705794083j),(-1.8516053749373556+0.4306701861243736j),(-1.8555485432665393+0.40122050499290396j),(-1.8514788610187154+0.43014061624855965j),(-1.8542682822732843+0.4110873084791159j),(-1.8535931544952868+0.41564790211222336j),(-1.8519929796909214+0.4257137492035923j),(-1.8538060250037394+0.41548054127390843j),(-1.8532664744636265+0.4167408035901259j),(-1.8527784823947404+0.4212150345527234j),(-1.853192659283785+0.41921706003006337j),(-1.8543486595703662+0.40845702827293845j),(-1.8516301151690935+0.4305805663138115j),(-1.8538548798740921+0.4134057389617305j),(-1.8536063791641373+0.41453159059731814j),(-1.8521299605691073+0.4268340462343356j),(-1.8549211682304652+0.40551990660477044j)
Y_N_c,150,(0.12699089928097604+0.18530664279347003j),(1.6036858559176363-0.03725285068356282j),(1.9198136309684306-0.03897042750027824j),(1.4553056831531612+0.2922377931119749j),(1.964102172966973-0.3234852460358485j),(1.514036556011912+0.18230087551231955j),(1.8221685960253944-0.006933443599340783j),(1.67503381285255-0.2244553063139222j),(1.7283121539831903+0.40427625845941384j),(1.7152675367388712-0.3181269946026118j),(1.7740853864754271+0.29439833532932064j),(1.663707160552975-0.04916469910149196j),(1.7648937193791199-0.023071157897179284j),(1.7151896410776764+0.05593253876692161j),(1.6783893538741579-0.003935818894587861j),(1.7870258531318044+0.04279451081153197j),(1.6806394073540545-0.000134427381152177j),(1.7416586027418306+0.16769387880110032j),(1.7373732602340435-0.06625754777021842j),(1.7044223441939996+0.11731610282828098j),(1.7304556677822212+0.010615861517442093j),(1.7266417315951685-0.001668391368755324j),(1.7169320444935183+0.1275577524163048j),(1.7287591042423454-0.03470011795217601j),(1.7430756692656206+0.1175862432234416j),(1.7033616094083588+0.04312326208511952j),(1.7474954901912663+0.018074118694204278j),(1.7220056841698141+0.05893120368000426j),(1.7091517944527745+0.05024921226402057j),(1.7576701624477344+0.0335574004565925j),(1.7113177792590388+0.04413311017104404j),(1.7283711867551874+0.10186435995702747j),(1.7391057956187586+0.0021697565057526846j),(1.7167609936004549+0.08098004489798549j),(1.7265979595393952+0.05179951567826313j),(1.7318950504687007+0.024590479614034155j),(1.722289000201443+0.09910647465970979j),(1.7271596056722625+0.024320520159718972j),(1.7355724778093782+0.07496075040467165j),(1.715623896092775+0.06157102403685333j),(1.735846174830737+0.03637347368600152j),(1.7274281463178065+0.06303651821894862j),(1.7169664640089113+0.058926928881703367j),(1.745339540260052+0.04818234805349331j),(1.7207026501033922+0.05327007454642074j),(1.7250723514815804+0.08033846101736575j),(1.7392968927661725+0.024207944582585017j),(1.7215068639996935+0.06823362883875839j),(1.726175413123494+0.06449384901563082j),(1.7333730778351328+0.03403650771662192j),(1.7255922287917682+0.08830966243816474j)
Y_N_c,250,(-0.017484676417649836-0.29679728279395146j),(-1.2166911223026144-0.2528645819525118j),(-1.7553899949650487-0.36085958583089406j),(-0.6843587872100348-0.628279270766568j),(-2.028580576275793+0.02773043085427529j),(-0.7820188743196272-0.5813746691537037j),(-1.6361105294972824-0.27199755073098875j),(-1.279709225901465-0.13039084502758072j),(-1.2806909185187543-0.794328304508661j),(-1.4262000784627462+0.0449567328560063j),(-1.4080359729431369-0.7525342116584008j),(-1.2295664957186607-0.2197004932072768j),(-1.4779684836030458-0.3660693745648821j),(-1.3166395248169598-0.3967201604309336j),(-1.2649324167284317-0.31500416660076597j),(-1.503052968723857-0.4321209019177183j),(-1.255815341641888-0.3229907468669647j),(-1.3736744922446777-0.5467142111458749j),(-1.4074388933227833-0.2777435665622422j),(-1.2903028839470292-0.4758803092247564j),(-1.379045423288515-0.3524326090107664j),(-1.3690895892311132-0.35446054997766235j),(-1.3167231443773557-0.48455819841915465j),(-1.385873731888001-0.30769190085879805j),(-1.3800843244506338-0.4985078296547833j),(-1.3049178029111592-0.37838824007132105j),(-1.4180254038470446-0.38470184131821683j),(-1.3426440291646646-0.41249824649165734j),(-1.3188482770508458-0.39404098550210653j),(-1.4365725969347574-0.4063012359659305j),(-1.3219910950409777-0.3902344602035854j),(-1.3526816250654405-0.4649080499153095j),(-1.3986176230598388-0.3587697222565298j),(-1.3275924881724903-0.4367484974928311j),(-1.3593616829473518-0.4043739860394903j),(-1.3763862217538483-0.3822014865030793j),(-1.3366050313366873-0.45852397805120176j),(-1.3670999390505756-0.3749135951077313j),(-1.3733201053129056-0.4421558291970951j),(-1.329740616695893-0.41028099013699376j),(-1.3850005064458824-0.3960254707783909j),(-1.3563805766766097-0.42147382575789505j),(-1.3341882312182245-0.40899918401734475j),(-1.404238019715759-0.41543642388573726j),(-1.3429587907132992-0.40609399638385435j),(-1.3487917214506426-0.4388053617931882j),(-1.3946709641170152-0.38432417998659196j),(-1.3418588922514676-0.42411629333335404j),(-1.3549886525800634-0.4204251453272547j),(-1.378039531612768-0.39268044637285787j),(-1.347105898315462-0.4489946274955157j)
Y_N_c,350,(-0.12713743096641772+0.2676023885887534j),(0.722798585444998+0.35798546943267634j),(1.442577480205573+0.6640588409532315j),(-0.1704362858816729+0.5412358015125458j),(1.9780955025633085+0.31778466642787295j),(-0.11341836200905761+0.6750016048560885j),(1.4105960017099466+0.3468531662508377j),(0.6830051213755426+0.4642232685200313j),(0.7727801295891622+0.7526453189917535j),(0.9970058283106128+0.2256718102128903j),(0.8942639612132108+0.9144472086674067j),(0.7159635905483038+0.2793127242085214j),(1.0407998448599083+0.637197676058783j),(0.7933315403566203+0.5062511516357366j),(0.7649739855389084+0.44020642994511067j),(1.0585456973528253+0.6535863139421729j),(0.72574738113058+0.44160227615195613j),(0.898242382504024+0.669131589552164j),(0.9316997982659103+0.48467568656168303j),(0.7743058496281252+0.5846235620780866j),(0.9071959625136026+0.5100487060665562j),(0.878455941247471+0.5387463922226948j),(0.8118388790974754+0.586372367683023j),(0.9144889146953522+0.4949977362678705j),(0.8881370818774429+0.6492468389422291j),(0.8022006847833162+0.497622905477451j),(0.951433535469224+0.5802971261839117j),(0.843076536127473+0.5520365449828554j),(0.8214919251186807+0.5249678854675834j),(0.9722516752461524+0.6020669083438239j),(0.8185827195865207+0.5262816043884728j),(0.8635221356298112+0.5977019330013413j),(0.9222254499694743+0.5442547269130312j),(0.826014797450229+0.5668429293335648j),(0.8741286807538158+0.5512868095124662j),(0.8913417829946583+0.5537246180366344j),(0.8381815160428279+0.5841617811400736j),(0.8847678226003011+0.5362100585708035j),(0.8848129670136891+0.5976632313571671j),(0.8320176854184889+0.5416104266094378j),(0.9066837812751405+0.5657528757963242j),(0.8635478986819796+0.5687125591359419j),(0.8387198733533503+0.5449840345169227j),(0.9300466942648065+0.5911033535395445j),(0.8471066716299911+0.5495318441487428j),(0.8571761986245805+0.5764499138893711j),(0.9171732785394817+0.5619292979574162j),(0.8456942671500132+0.5635014480202151j),(0.866141990188066+0.564166786854652j),(0.894294854778895+0.5604068185836665j),(0.8522207116008214+0.5843023901395051j)
Y_N_c,450,(0.19070781907578882-0.13128560132168707j),(-0.26948873941798096-0.28335408620092994j),(-1.0250635647981092-0.8132306725672687j),(0.7668832556203486-0.12726685515162153j),(-1.7483594939634417-0.6385433791705659j),(0.8892347458756098-0.46892047122533986j),(-1.2510186840774322-0.2595195596150747j),(0.035080652857340494-0.6919013441866164j),(-0.4595763078331607-0.35036828853425983j),(-0.4764595449855733-0.45773237103772135j),(-0.4053863035040024-0.748188308574592j),(-0.293201700819262-0.1830599745552281j),(-0.5446435032339532-0.7305073923293318j),(-0.30775983253638634-0.3865976924466458j),(-0.34084933343359536-0.39944652004617426j),(-0.5516566351769767-0.6572185346408218j),(-0.26075175270312856-0.36808356439897283j),(-0.47034118657091695-0.556833810412424j),(-0.422118009641416-0.51361723573509j),(-0.33285542994659695-0.4659097508834497j),(-0.444646290456417-0.48034303386342914j),(-0.388888320344097-0.5257950004863485j),(-0.3712486419384894-0.4588980905323287j),(-0.43603949882794346-0.5062928637265345j),(-0.41659240449639406-0.5630169999658384j),(-0.3538972600742435-0.4188098332897178j),(-0.4684891229002311-0.5767834490369039j),(-0.37476262420538087-0.47800890723109873j),(-0.37213432068510505-0.4556631823286888j),(-0.4831786783207215-0.5895869292067144j),(-0.3559863586436497-0.4571019605881612j),(-0.4135666886377095-0.5109289828937537j),(-0.4352983047388113-0.5332665648672087j),(-0.3704311441137944-0.48079687635220264j),(-0.4140855096125525-0.4939607020770424j),(-0.41228384907877424-0.5225350035096118j),(-0.38518981337640323-0.4882828268533409j),(-0.41705302721402726-0.500884893551316j),(-0.4141794364621879-0.5342058618817804j),(-0.3766783130698631-0.46520614934754395j),(-0.43457264886986713-0.5324964437789808j),(-0.39622706483942083-0.5025398831678083j),(-0.3828269458856787-0.47445114760430984j),(-0.4529185164906392-0.5572151494650812j),(-0.3827763013897224-0.4844434449321271j),(-0.40128339641086364-0.4998120465592323j),(-0.43655778983150006-0.5370952581360627j),(-0.38505124186261896-0.49026527134764813j),(-0.40643395247562336-0.4983509228833475j),(-0.41841147785026533-0.5233050180522096j),(-0.3943007689740545-0.5006826902297737j)
Y_N_c,550,(-0.13547961347463167-0.005144843597596399j),(-0.0358639675389589+0.10599790216275673j),(0.5791168830571574+0.7766637642817593j),(-0.9249085337136727-0.35465256261191347j),(1.3436206148945034+0.8265419195013692j),(-1.3338519116235645+0.09618049763416497j),(1.1952284839751224+0.11844819872155804j),(-0.7446940217676691+0.7418794648496913j),(0.4744779259895924-0.18394220405117798j),(-0.07306425467136468+0.6171073434087831j),(0.09868066963679391+0.32769760301809675j),(0.04508787955273855+0.06737829038107387j),(0.10027257221830616+0.6230648058396144j),(-0.013535920895571367+0.13362155674647463j),(0.08263607178334842+0.2879616578689589j),(0.10036598509120054+0.4538144147429058j),(-0.021698690257578104+0.1968030620228888j),(0.18286066241488927+0.3158070449061183j),(5.759330778182248e-05+0.37989398445960587j),(0.07575497258289349+0.2335425607000979j),(0.09011826331317276+0.32425480039858096j),(0.02188805452093613+0.3581348549564323j),(0.098591146164994+0.2187607381270164j),(0.05747902932191369+0.3776005662437486j),(0.08389526592326527+0.3184737343697269j),(0.061669940006690564+0.23752776920833135j),(0.0823258722637965+0.40929805467401364j),(0.05133820561247684+0.27124949115219477j),(0.07306610497305929+0.27440935144606277j),(0.08580327161710505+0.4040529871796117j),(0.045076497636524264+0.26592249873819934j),(0.10628530122440154+0.29565995128857936j),(0.053813096346861405+0.3661812230261534j),(0.06980493802847772+0.2702887569156165j),(0.0840691678782553+0.30707048695118105j),(0.05449875655568194+0.3426657220239416j),(0.08479342697442316+0.2669729192210996j),(0.07134186499100315+0.3303806479812984j),(0.07555773249193165+0.32284841414359494j),(0.06962464393041126+0.2691166626622448j),(0.0788936864155656+0.352653341463194j),(0.06649425370017606+0.2988450759404002j),(0.07228638240275284+0.2819513282942559j),(0.08573847860447012+0.36641407924719566j),(0.0604885412523788+0.28897017650289086j),(0.08726946999180957+0.29412555902137255j),(0.06708646864871665+0.35866830256893917j),(0.06939978300268676+0.2873005117391281j),(0.08245001633556125+0.3016712300229259j),(0.06398430285980458+0.33903759436881425j),(0.08194451517471238+0.28586931749423655j)
Y_N_c,650,(0.020212287655023767+0.05638093073449835j),(0.16141838987809473+0.0697190884160083j),(-0.1964932818424057-0.5712073745504674j),(0.6941421671796184+0.635157699816504j),(-0.8498058243759582-0.8058907789390677j),(1.377553557653812+0.2527684225107338j),(-1.1964097312493376-0.030126471512375463j),(1.2915141886984156-0.5969909792795471j),(-0.7673995291552772+0.589770159920541j),(0.5812442349890794-0.6793381381466403j),(-0.060287841750022324+0.19418970828018456j),(0.06244576571820853-0.0636373468379991j),(0.1879257989542384-0.3415934089046021j),(0.12831880896000777+0.10769241997347956j),(0.01752533054456324-0.19722345879644143j),(0.19284825413954162-0.12139286793657725j),(0.09949231687106709-0.04787527855223461j),(-0.039706861182784756-0.06795143660117227j),(0.24183084563701374-0.1548930954789879j),(-0.006769159501554808-0.022941900523258504j),(0.11543724875181555-0.12874794979692217j),(0.15477402462221496-0.12709520541890937j),(0.002700366466298524-0.0017258185384750639j),(0.15929968990372215-0.18135383026383467j),(0.06431466731734342-0.03948359812518552j),(0.06138818920538006-0.0657371910298838j),(0.1367255369365151-0.16050261564509116j),(0.09021032908209382-0.04772704944777752j),(0.057442223037376464-0.08870415124867585j),(0.1431363023482105-0.13435787480215364j),(0.08435509656909242-0.06502662663648398j),(0.036103772178545254-0.06783133552801238j),(0.15337310399996365-0.13106011738549628j),(0.05260103571807738-0.054237850200422044j),(0.08134279522525041-0.09371616278333941j),(0.1251373530841646-0.11112516565723785j),(0.042018805357368426-0.04261021547047847j),(0.10736356068298746-0.1191074796729516j),(0.08536051285853172-0.07483658542266945j),(0.06527043575299311-0.06600820507143752j),(0.10821713582988737-0.12130646373159261j),(0.08612746398586647-0.06900581645001466j),(0.06694772249947997-0.07731255740783181j),(0.11224313974974465-0.11565356600001105j),(0.08472618478528239-0.07313873867705484j),(0.057178011875766335-0.07217766279577258j),(0.1296854083838937-0.12028020177383017j),(0.07027440803454274-0.06778197329279265j),(0.07288121451600613-0.0821545671343957j),(0.11534845173316652-0.10647977344596526j),(0.0565592749458361-0.05730162312801883j)
Y_N_c,750,(0.06415629491395786-0.020748849913391085j),(-0.14769391819697772-0.16369730726279913j),(-0.04793813964634297+0.2662663742745146j),(-0.29350281908386056-0.5853619874892314j),(0.396088683419062+0.5759279048626682j),(-1.1001762490494076-0.4286399481623873j),(1.157824742168058+0.03470911578898739j),(-1.5486401858660628+0.31408318608446795j),(1.1441976098600268-0.7055963350411525j),(-0.9790676414529336+0.6380041221519708j),(0.27496005777912197-0.641214054126986j),(-0.14133250519847046+0.21783163615070172j),(-0.2527135966563868-0.03884401604394322j),(-0.08884105812174273-0.20792895714459214j),(-0.030837511964038326+0.15584088077404332j),(-0.27934464040836166-0.2131565337585352j),(-0.039212981445991016+0.0020452911453049585j),(-0.01663603012740043-0.10984774413738779j),(-0.2738458377170252-0.05777570992434773j),(0.043551353545274486-0.08098529546842144j),(-0.1844097354598101-0.03280626357987097j),(-0.1479356861700353-0.06591109013428681j),(-0.005987093157241086-0.10792336229478104j),(-0.20873047842109577-0.0036487640292227827j),(-0.06215641175589828-0.16084051135701516j),(-0.07164247076960735-0.027247853190137377j),(-0.18038016740307747-0.0713296433080014j),(-0.08945895997379494-0.0972888365418379j),(-0.06920857794459824-0.029851460976049307j),(-0.19113828388330656-0.1103177776468621j),(-0.07811404883475215-0.060378856024377606j),(-0.05931294978784051-0.08814119955455692j),(-0.1842140729502144-0.0725300347736878j),(-0.04906484388350699-0.08063700165320559j),(-0.11241665479625018-0.06333554863781252j),(-0.1404984905818645-0.07495334294659903j),(-0.048036775638142806-0.09687608539255578j),(-0.1383355279958939-0.04875086354247451j),(-0.09648762384073362-0.10923613173322164j),(-0.07495752705891061-0.0630984259713596j),(-0.14008531404141883-0.0695411625429963j),(-0.09532564114718423-0.0926894121569264j),(-0.0786987424367874-0.05870582583399596j),(-0.1481355530164-0.09477374750606049j),(-0.09069429240264644-0.07430627137462559j),(-0.07389770887995015-0.08031184432662132j),(-0.15967527034474038-0.07953401916291142j),(-0.07597220027006828-0.07988455953089175j),(-0.09464844168243675-0.0743544475700533j),(-0.13565592745592353-0.07833278230797604j),(-0.06568433068995426-0.09486296615763345j)
Y_N_c,850,(-0.07299888930938025-0.038447124827039984j),(0.07268671456670397+0.15223038669004385j),(0.1275428579452084+0.0366758277067353j),(-0.032269071386805785+0.2707758018132149j),(-0.09315186062383411-0.22303988883455225j),(0.6708567721549861+0.3797873027196321j),(-1.0025077862376224-0.09882163736708438j),(1.467535896369712-0.010978273961439189j),(-1.3796879201165382+0.5345017293050021j),(1.2117071894374416-0.5101730685243397j),(-0.6341194576004688+0.8775414186228385j),(0.2982359736748474-0.46585456877128606j),(0.08850564987196616+0.41424494545102336j),(0.01003630810774003+0.10924301784361068j),(0.02585845797525612-0.12035319492377715j),(0.1874362693164887+0.4167949943644818j),(-0.05263795028367094-0.06106070270912937j),(0.04935496587577723+0.20448327459119858j),(0.14220246068267856+0.16483642554115038j),(-0.07997145543647106+0.07804542178981502j),(0.15797356788139694+0.12190281455528455j),(0.029974911028297385+0.15222232702157046j),(0.0004486424070339962+0.10759910130235263j),(0.13324317606449607+0.11919495770636747j),(-0.0053784094098948895+0.22571901452439502j),(0.04419348740031427+0.038451664661795906j),(0.09877915924560032+0.20864805286399557j),(0.027816840702868783+0.1277506350757947j),(0.034411785005030324+0.06900366064775086j),(0.10984093578147974+0.2430439761891222j),(0.017977621271073982+0.08576827440996827j),(0.03403084843417874+0.14681716376445078j),(0.09667174292216017+0.17350813710421087j),(0.0027806757260488563+0.11226952653522412j),(0.07187897321682499+0.129653152201679j),(0.05904986645886808+0.15719962799455156j),(0.013756686732268979+0.12969734993771215j),(0.08114527822776128+0.1290574891316625j),(0.03235196477294908+0.1787477256823884j),(0.03457495990893339+0.09763148670143687j),(0.07653818193364147+0.1647138837564829j),(0.036387322742194944+0.14558215586273895j),(0.0360519756086723+0.10270939696472851j),(0.08127095975127938+0.19927585205143647j),(0.0333260058590202+0.11983713389858883j),(0.03503826329834689+0.13443842439309178j),(0.08356033718218579+0.17606949465813293j),(0.02478521879632397+0.12508363468109424j),(0.05125897635250459+0.13429007511802857j),(0.0632603775872723+0.15983161938763574j),(0.0226250449107489+0.1406779447115643j)
Y_N_c,950,(0.030970374889328214+0.06072854356398655j),(-0.007375080367949119-0.06735422800369352j),(-0.07588162692804429-0.2430292930299697j),(0.14706171288658296+0.11027456718734852j),(-0.02006367986427268-0.11845882095748624j),(-0.26493126750316304-0.16459939857402678j),(0.720832174670298+0.14282121276687643j),(-1.108605259075779-0.19297011098367256j),(1.3333894797065542-0.22186945066092711j),(-1.253187399907785+0.3340138892163732j),(0.9802925651725932-0.8550036468180771j),(-0.5611626063985167+0.6764837162439962j),(0.24223690940866932-0.6846320078892381j),(-0.010886748429530212+0.15216616069301186j),(-0.017876267972229423+0.018774062459545125j),(-0.014915566777633862-0.40266756641264756j),(0.09223681931674313+0.153145485348544j),(-0.0844813467588378-0.24026843496513894j),(0.05020947264348395-0.1269729455614594j),(0.051307595305356314-0.033491601475362634j),(-0.08096533291124244-0.13346073041450768j),(0.0975831397769395-0.12357193007945835j),(-0.03345843044860949-0.054605141667451555j),(-0.0020094922030714922-0.1430353361863215j),(0.051072717436205436-0.16967574364558774j),(-0.0258294595330011-0.011753665776334524j),(0.024504853247327027-0.22145425684772596j),(0.019584574991958523-0.07109308183346971j),(-0.0040608846056862415-0.06062362328792521j),(0.01163171625413019-0.23293787454996123j),(0.02671151960653627-0.04410119374028022j),(-0.013230473780520405-0.13205063724332877j),(0.022044843942880664-0.15573884391010634j),(0.022005517966048393-0.07579891781800809j),(-0.018115232048905146-0.11750528196664337j),(0.03532359791385363-0.134030128230033j),(0.0016127936809344733-0.09102051393657139j),(-0.0021172887244128857-0.12380165076057947j),(0.028769767903061717-0.1441259766524125j),(-0.0022636573996288427-0.06855031419042179j),(0.00921878701885493-0.15885962001407938j),(0.017814084814010825-0.1078979572228839j),(0.002079988601773681-0.0811478580125311j),(0.009558802359258288-0.1867079960002181j),(0.017910507605294855-0.08603678029934964j),(-0.0001910903795718441-0.11283423955226944j),(0.01654789283621229-0.15956131163128065j),(0.0166453078623925-0.0929939685617017j),(-0.004206872475817788-0.11463910595315553j),(0.022442311283139914-0.13818663716270513j),(0.008794680703289759-0.10676422568552307j)
Y_N_c,1050,(0.008053289671348498-0.03648214139174957j),(-0.014615292476502735-0.03108233293969142j),(-0.029803292945776834+0.30375560269843804j),(-0.07324915089238165-0.35553018070132825j),(-0.010561326188170544+0.33038493569996974j),(-0.006190784837031754-0.09289292861355637j),(-0.3789461641760634-0.10427256505930009j),(0.6154147005962295+0.22621585249337683j),(-1.0166294040878554-0.04926191355204507j),(1.112680119101396-0.16339474770186244j),(-1.1712000780531704+0.6233197047021013j),(0.8599478025227163-0.7327678608818825j),(-0.6266884982358933+0.7882033526328487j),(0.15644233869469687-0.46657482833301855j),(-0.03338840999053024+0.18570108332039076j),(-0.11084478729282764+0.16824912724473443j),(-0.06109801551949972-0.17851427043275644j),(0.10792302345343457+0.23532575345572823j),(-0.19070585791787237-0.01927139227781465j),(0.035483394086291156+0.022084627255086683j),(-0.01018291587635757+0.08226597307588517j),(-0.15197397513467603+0.03056403854814793j),(0.09082245212062233+0.013352200841895067j),(-0.1143196796106283+0.09032025074516908j),(-0.02890920999416961+0.058312459012243543j),(0.019435189412243863-0.004952428034201787j),(-0.10887204709779592+0.13398354347566988j),(-0.01933317817874148-0.00964018238760499j),(-0.008543163902764482+0.04456860247058361j),(-0.08906666655363805+0.11409322328209025j),(-0.029441689349690756-0.006835926333125575j),(0.013498405201252077+0.0852179305278115j),(-0.0963754849798871+0.05873156120319323j),(-0.00712415140705866+0.027391997312888102j),(-0.01647794870182053+0.063656479248896j),(-0.08125675729869383+0.05111353221977112j),(0.01564032642752461+0.03601714443726447j),(-0.051888139940627666+0.06669534993147211j),(-0.041276088971947456+0.05817151605672468j),(-0.003267424353179959+0.024622957380147838j),(-0.06176328055820013+0.08702833761773232j),(-0.029687979229097647+0.03309796483644874j),(-0.013318985143662282+0.03919948362456271j),(-0.06188671028247822+0.09527542988124325j),(-0.030133414459653573+0.02483630966173682j),(-0.006678860119541011+0.06050759467090086j),(-0.07511068089922782+0.07037706499666252j),(-0.020390150455385322+0.03530448218715519j),(-0.016089895105237152+0.058035974011531925j),(-0.0652601647660225+0.05779219850792257j),(-0.004846568333138681+0.045412491919851763j)
