Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550,2650,2750,2850,2950,3050,3150,3250,3350,3450,3550,3650,3750,3850,3950,4050,4150,4250,4350,4450,4550,4650,4750,4850,4950,5050
Y_N_c,50,(-0.12914974963870995-0.006603704721343168j),(5.096913050164394-1.4699136806391677j),(4.809181938560617-1.6012530237705043j),(5.099634753726943-1.4194269131400765j),(4.83869336846339-1.548052343445562j),(5.066148356149333-1.4578261467711184j),(4.882677223080239-1.4688353671586958j),(5.021724814669373-1.5071916112805839j),(4.926388769039091-1.411385898213442j),(4.99318828492596-1.4974686793017455j),(4.9591486162204985-1.4124664133660596j),(4.982421804830455-1.449924853414359j),(4.928680097512719-1.6084807568056323j),(4.983434387334938-1.3920848942487454j),(4.886698152140696-1.8053901933298562j),(4.99162852272912-1.3391640017191397j),(4.9173227416005325-1.7031532481967186j),(5.003331498348199-1.301251939615277j),(4.944064291069278-1.5907582808026448j),(4.990309943993344-1.3813060444497605j),(4.965132953444992-1.4955927331865824j),(4.947893966811916-1.5334659558648067j),(4.982685117708721-1.4175721216195358j),(4.920089966887519-1.6295104565169005j),(4.998191667866075-1.3556295825026485j),(4.926076931797799-1.6220569925228836j),(4.997951650327539-1.3728119562404328j),(4.944107674378973-1.5607846186422j),(4.97152550328419-1.4608490152382734j),(4.963216402830634-1.4933119816142666j),(4.952325996700116-1.5195279583377852j),(4.982227900494887-1.4280121323202084j),(4.940518557410065-1.5541707799514017j),(4.984433133052285-1.4272678992027845j),(4.945133357483316-1.5433827489293004j),(4.973509660909384-1.4640177980302076j),(4.956888099378965-1.5038214918693984j),(4.962606949007728-1.4941988427985664j),(4.97040942627812-1.463498469100844j),(4.955327094434704-1.5113110008244508j),(4.971576887501551-1.466683875565796j),(4.95162594865823-1.5185092614360118j),(4.9682980528962135-1.4809199794115113j),(4.9577794487487195-1.499657160832471j),(4.962667426099077-1.4975670769519658j),(4.965685087809743-1.478522636479975j),(4.959054227573656-1.505119065311433j),(4.9665633335308055-1.480106184701488j),(4.957862172901024-1.504193839197012j),(4.965568566264174-1.4853557102291886j),(4.9592791796315545-1.4974132473461248j)
Y_N_c,150,(0.2450225219260384-0.047332588434980574j),(-5.134063638698414+0.755463770208746j),(-4.719071570947418+1.2972949073949127j),(-5.25602945796908+0.6388054014919977j),(-4.69461731523337+1.1135758730319831j),(-5.383882859272562+0.8098051480548594j),(-4.706658198487661+0.8484665666155115j),(-5.4158754893982834+1.001548320991463j),(-4.734949496819038+0.6483992132310116j),(-5.343963178707615+0.9882405445719773j),(-4.763277117459947+0.625487036627845j),(-5.245524782131712+0.8420258244668035j),(-4.771683064774623+1.2048798937383913j),(-5.160502162813153+0.6555051602922579j),(-4.778614967237266+1.802654955518587j),(-5.0975588229899715+0.47956311719393674j),(-4.941507446571214+1.536171916043845j),(-5.053458143541444+0.34680815153668093j),(-5.030347535955516+1.2216725214418442j),(-5.018430177464257+0.5701516341484725j),(-5.0678381436531605+0.9442059221522606j),(-4.967435311400198+1.0229169392582886j),(-5.079141662172982+0.709235043750065j),(-4.910806146433694+1.3085892278070463j),(-5.078266293624053+0.5170860277822842j),(-4.928435242463266+1.2932833920082643j),(-5.07336277951928+0.5586421928696625j),(-4.973026985384916+1.11986377700977j),(-5.043791437789501+0.820095260312768j),(-5.008197702918552+0.9225307907109945j),(-5.0056900921652+0.9939462086713701j),(-5.034827898263603+0.7268996737601378j),(-4.966667050094653+1.0947871512485547j),(-5.051960765691613+0.7224354635655129j),(-4.966092084297983+1.0633500918471217j),(-5.047704330461979+0.8319589176693656j),(-4.9857860266686265+0.9485777212014601j),(-5.030389833652324+0.9221159640045834j),(-5.0069926368549424+0.8286060414467016j),(-5.008310155340316+0.972131095637063j),(-5.0235081148702+0.8383268372334357j),(-4.985310494917004+0.9911439124621703j),(-5.028863917530431+0.8812297730007254j),(-4.987668496837616+0.9346586475516012j),(-5.0235385268979655+0.9316670467967553j),(-5.001730322554858+0.8718723859225814j),(-5.013628262128808+0.9541286571692481j),(-5.014360054729103+0.8775780824326334j),(-5.002428196411659+0.9503129793213007j),(-5.020787700905799+0.8941914834120881j),(-4.992089657663719+0.9278514068901746j)
Y_N_c,250,(-0.3647185490538537+0.029216013199104746j),(4.963260820176792-0.05690213426380075j),(4.451823887232845-0.9750571380634581j),(5.281381500858057+0.1169775882569355j),(4.281690632319861-0.6752470867007674j),(5.747780634098607-0.17538657612410802j),(4.170000105175345-0.23720533143495648j),(5.9688108310080485-0.5038011732506613j),(4.120503009920615+0.10013585017144672j),(5.819666191996656-0.5036723637116002j),(4.132557486577134+0.15309139919271494j),(5.528927237126715-0.2775687316462918j),(4.344183801975-0.7431943283894251j),(5.242453075941965+0.025965740473234522j),(4.578041917793349-1.6898810681430774j),(5.006324515250145+0.320297402033709j),(4.923718940579181-1.3175194494387197j),(4.826507607601978+0.5488505323886202j),(5.058091971361786-0.8495588968250173j),(4.799376933326263+0.2220765509182392j),(5.065470630205467-0.42179644895531343j),(4.835496135205887-0.4774976254453403j),(5.0136944686246885-0.04925002287921269j),(4.791107563856901-0.9322571304712776j),(4.939860078092837+0.26256390498278825j),(4.823865751225842-0.9298949049329307j),(4.935801896590487+0.2175836565871465j),(4.875864982758945-0.6762953888299081j),(4.9613012989042815-0.18018644288948793j),(4.8950542044117595-0.3746694159271531j),(4.929316021762483-0.4515473975733497j),(4.891252346277496-0.06712962885301832j),(4.863832796794521-0.6130819871341802j),(4.935042140647129-0.04711433382180963j),(4.845052788654334-0.5732371561018079j),(4.9692457299746655-0.20998621535522144j),(4.851536845655633-0.4024955660351728j),(4.962175827217067-0.3490052407905724j),(4.858307941155578-0.21771682843545515j),(4.925391501690397-0.4280051528459594j),(4.904590186426921-0.227084105650178j),(4.871800728309802-0.45919480039631466j),(4.935930654257452-0.2902142416434552j),(4.853370818181195-0.3754096269024978j),(4.943569674633693-0.36845039059263485j),(4.863150086028508-0.2790209015115712j),(4.928099024127622-0.40430383001941994j),(4.897859443072709-0.28552322943841846j),(4.898335487516893-0.3990798211513831j),(4.921603449170752-0.31008207370264906j),(4.861563878758299-0.36434822800859323j)
Y_N_c,350,(0.44626488182048474+0.05160030473054214j),(-4.600570341454802-0.565918499466852j),(-4.025942425430736+0.6690372571615028j),(-5.169691768758905-0.8019775581910726j),(-3.6353530673581935+0.2981652322093863j),(-6.10307173674991-0.44791133854383336j),(-3.3211684917002593-0.2711973795136746j),(-6.603944952907347-0.018689416106384762j),(-3.1381760298323154-0.7228713180096411j),(-6.367325396781446+0.028182109998917192j),(-3.120856850109977-0.8124771497864693j),(-5.813554632129782-0.2232287744319117j),(-3.657271448060492+0.26158487676755704j),(-5.237722678630714-0.5973333265497263j),(-4.256085967369066+1.4356058477683729j),(-4.745463387192035-0.9778322718229677j),(-4.826848768299602+1.0296267471776703j),(-4.362157198332292-1.2841512633765044j),(-5.001816959727392+0.48507996551180566j),(-4.356684895053395-0.9206430010651503j),(-4.949332717405898-0.03241647332972142j),(-4.54923745471309-0.07850770543474338j),(-4.793566924377251-0.4981782322801789j),(-4.55330992238708+0.5031601538706761j),(-4.603370665457757-0.8988405336593506j),(-4.6054000488481055+0.5416203593214204j),(-4.5988942584794446-0.881594145612159j),(-4.650317444992401+0.2591929239649078j),(-4.721976005947564-0.4166960095085219j),(-4.6292161790582895-0.10054359448303396j),(-4.71835996554432-0.08081755834711579j),(-4.565493424514292-0.4824512362230555j),(-4.631490642211765+0.13232772839167795j),(-4.639899648255334-0.5370295837682104j),(-4.585765611030053+0.10436277097459401j),(-4.735353943298321-0.35689190491600153j),(-4.562257770135719-0.08922555268820309j),(-4.753385415793273-0.18966366154528336j),(-4.536238600240156-0.3112840597347839j),(-4.705239774250298-0.08775708425819251j),(-4.618887656982093-0.31525691748615414j),(-4.615559279420998-0.04130696768432496j),(-4.68791048869979-0.2483165600257935j),(-4.5638206111529485-0.13342953206905417j),(-4.719348720560555-0.15424549185588754j),(-4.559420958857563-0.2490507546976226j),(-4.701124782771318-0.10748885439187505j),(-4.620763288310643-0.24895401403062145j),(-4.648602454470972-0.10985841853088707j),(-4.667961733634837-0.22384532919270939j),(-4.576048418730877-0.14822325980451345j)
Y_N_c,450,(-0.4613772192743868-0.1642777809679285j),(4.080022131953831+1.0647729927595206j),(3.4737108778266585-0.4082171906247204j),(4.922738795944495+1.3761827295244886j),(2.816510539715118-0.03254399363252369j),(6.3793919493227405+1.054573413443902j),(2.2443721550851086+0.6043595655050057j),(7.216190138971614+0.5834590790061949j),(1.8845988575709138+1.1325928954029247j),(6.914868604505617+0.4488222892386786j),(1.8230628627984875+1.2648173316432338j),(6.07840739252274+0.6475944259067039j),(2.7360748928739396+0.19924818511917164j),(5.168544783842679+1.0199519271020372j),(3.7719650034521996-1.0314271045093897j),(4.368211975589315+1.432225441638087j),(4.6011729443255724-0.6655184466452442j),(3.7337682371652825+1.782124847763001j),(4.8315815697501385-0.1364490769599842j),(3.7381033648386546+1.462431612664726j),(4.716572815426886+0.3912645636763974j),(4.112232463182013+0.6149923557986474j),(4.441580041348735+0.8873663593044241j),(4.189858304214314-0.03305854411142395j),(4.112995092068613+1.329927755106736j),(4.267695563199941-0.1400916801227139j),(4.0967112359449995+1.3736482210961056j),(4.300792700720175+0.10936948348965214j),(4.333253534568605+0.9305546050484039j),(4.229067539177811+0.46745128626773513j),(4.373325716205187+0.5749926735802364j),(4.090772267881511+0.8721776933608021j),(4.274788359364001+0.32408775505234333j),(4.188688587848677+0.9809229774891528j),(4.200629769387753+0.3169117798896406j),(4.3531514869981365+0.828985642920548j),(4.138904214609737+0.4922630473005527j),(4.406600967434793+0.661125428111764j),(4.0692845451192765+0.7153515472764644j),(4.353954677589085+0.5450966418152041j),(4.183923348761862+0.7470158394591457j),(4.230610719316627+0.4796977800835094j),(4.293362325862022+0.6968239068161484j),(4.140693799708265+0.5566002139680979j),(4.355608107427319+0.6031311650189728j),(4.11448784914557+0.6726418814958584j),(4.339662254249606+0.5493772553295395j),(4.1990819466171905+0.6872546761364142j),(4.266212558451093+0.5435302138323042j),(4.27022334995256+0.6710193273465104j),(4.156411889287796+0.5739722154269813j)
Y_N_c,550,(0.40487487227917196+0.2686002900824462j),(-3.4483883799779567-1.4062955227091338j),(-2.837257498434804+0.21199135177878403j),(-4.550839665969437-1.8102065807865553j),(-1.9038281398977477-0.09326951120884064j),(-6.50285557459105-1.6245097931861932j),(-1.0478456888967664-0.7181327873760659j),(-7.688603000582724-1.1819909700253368j),(-0.4848739877022964-1.2747108006973857j),(-7.3801606377924704-0.9251331646295324j),(-0.36260597610600237-1.453348051365196j),(-6.30072920523848-0.9877041840819687j),(-1.6205776809407142-0.5950129191674646j),(-5.06495732220157-1.27362777297613j),(-3.0850014950674614+0.5015149740245635j),(-3.943800623129804-1.649805747073561j),(-4.193922769875809+0.2368771450071112j),(-3.036653761793042-1.9978099147443498j),(-4.516693538739532-0.1862631242639774j),(-3.0103527091723765-1.7995473290362047j),(-4.3684880718428145-0.6391421605416041j),(-3.5377589249535437-1.0931823141167323j),(-3.9903456223209224-1.0938585421872968j),(-3.697456852553269-0.4520789698117802j),(-3.5280385093292477-1.5218181488402613j),(-3.8091378529572086-0.25716956322770934j),(-3.4788941457558433-1.6520519057987588j),(-3.83753988331679-0.4128437259883191j),(-3.8128563753686002-1.3228757727016833j),(-3.722065143537533-0.7055249778672958j),(-3.901694227045648-0.9990778687645221j),(-3.5130536393780627-1.0749120088246211j),(-3.8047559710577503-0.7301676160736086j),(-3.6164325785074403-1.250195397508588j),(-3.70901053392405-0.6678891418384307j),(-3.839828232777514-1.171716369033716j),(-3.6116118593142335-0.7836441199558155j),(-3.9322934372931697-1.0339520551203845j),(-3.4975442515141313-0.9682934634754023j),(-3.8847581834702423-0.915768260844201j),(-3.628573993052994-1.0376282414683329j),(-3.7385221876540466-0.8298538961993989j),(-3.7707664455481664-1.0238587675707005j),(-3.61477576672421-0.868590923196386j),(-3.8654413014452107-0.9485139968287835j),(-3.562928298824933-0.964427189808132j),(-3.858422198026724-0.8935080525648094j),(-3.659317296056485-0.999726110279733j),(-3.7722035210546414-0.8751636510335801j),(-3.748507210300041-1.0012285848917515j),(-3.632573718322112-0.8863254130529656j)
Y_N_c,650,(-0.29498989646546003-0.3299342487641612j),(2.75961320185458+1.5748413376717778j),(2.1636863880899466-0.09007653599168086j),(4.071480717703803+2.082365323174507j),(0.981772685267281+0.07024598390550751j),(6.409007910981365+2.119590843768058j),(-0.15008870245140551+0.6013443846249552j),(7.91295215379027+1.778095152370505j),(-0.9227298251397245+1.1339254299584485j),(7.683105483132982+1.383937140022446j),(-1.1231756317616304+1.3590026380374605j),(6.457555913123731+1.2406510651887537j),(0.3668920284672892+0.8817511576294219j),(4.9586816448845354+1.3589218384500934j),(2.1695572642000895+0.09789472183352155j),(3.5465537429770384+1.628363000030942j),(3.5617412046554118+0.2248568777930997j),(2.3744975908624593+1.9239763237474845j),(4.0313494638180485+0.4705149265258106j),(2.2530551602661197+1.904705967454978j),(3.9096255606388515+0.772872999512398j),(2.853153090572304+1.468777668179614j),(3.4762499991344216+1.1169781091016726j),(3.0829939474742885+0.9131680474015612j),(2.913222600112314+1.472373696908702j),(3.235503060867314+0.6270330347868022j),(2.8051114441882072+1.6979786280733578j),(3.2767023963631488+0.6409153126358352j),(3.1901114920810727+1.5602127062032989j),(3.1410700553265922+0.8111020308955545j),(3.320656962963988+1.3196936347441128j),(2.8841024790056915+1.0889907228893978j),(3.2396430612047036+1.0587925108731873j),(2.967752006663819+1.3289997902573791j),(3.1363372931395417+0.930872581022566j),(3.2232821293207956+1.3589375733544307j),(3.016328452101155+0.9535040426998823j),(3.3504014726412574+1.280579369007292j),(2.867539981914098+1.0633055191729581j),(3.3185704404779215+1.175345456797138j),(2.991044156994381+1.1707802254533104j),(3.1670719353608785+1.0720314107670328j),(3.1487540385197383+1.2070386000586883j),(3.0226577684008915+1.0556276142977832j),(3.2712472655971236+1.1667787999541126j),(2.9461893875714824+1.1119428035763765j),(3.2800870129852173+1.1181833088428337j),(3.036874728332067+1.168485119574547j),(3.194372653446027+1.0862215551547738j),(3.132476795874159+1.1933772210218931j),(3.0403919072623062+1.070175153801022j)
Y_N_c,750,(0.16501038655311104+0.33098634270104466j),(-2.068643408475645-1.5733556532912343j),(-1.5002313415847468+0.041601425360986655j),(-3.509399944173143-2.18294903546394j),(-0.13240378623042012+0.08482810465901736j),(-6.059266527352387-2.4958360347956896j),(1.2335825747361382-0.2804431033640935j),(-7.809766581669654-2.314013829566318j),(2.203466845131862-0.7353101611271315j),(-7.757705566910649-1.7954866725244734j),(2.499061322342154-1.001754453652086j),(-6.527394660752825-1.4080008659563925j),(0.9532549367637867-1.02149352076883j),(-4.876757171127371-1.2964043714034688j),(-1.0283078196786706-0.6863186299185974j),(-3.244279910237314-1.396887158851222j),(-2.6825107692575867-0.6718197822552523j),(-1.8446997741988413-1.5914885994296133j),(-3.3601922233660977-0.7016631687041818j),(-1.550994894128758-1.7748751377677718j),(-3.346819148266298-0.8009325643869899j),(-2.1025014643036988-1.6979722525558123j),(-2.93312894549437-0.9789545537994738j),(-2.3685740027212208-1.3024745175123515j),(-2.3283705945942588-1.2108223396115398j),(-2.5631965305091002-0.9425322212996148j),(-2.138111469184719-1.5180681236128137j),(-2.640104708651773-0.7895127504204432j),(-2.505784649386431-1.6188130201631794j),(-2.5203678427675724-0.7966852458237363j),(-2.658837084608219-1.5059344799124925j),(-2.2540661705005918-0.9374588412047502j),(-2.605691890150899-1.284254012981909j),(-2.2923701139853705-1.2221422387634782j),(-2.5128120778598135-1.0941644969115694j),(-2.541448996228934-1.3765387110718523j),(-2.391059353711322-1.0050480258264187j),(-2.6909128994175227-1.3806357530695377j),(-2.2264866969641206-1.0127998587964981j),(-2.6839187416076236-1.305645385125381j),(-2.3157161012858234-1.1463730897358348j),(-2.548472921495831-1.1943437654591667j),(-2.4651412244451985-1.2359639012323829j),(-2.403025923149459-1.1162183725044463j),(-2.6047012572748547-1.2431869694081672j),(-2.308169685004581-1.1182683760071632j),(-2.6348111149764724-1.2100484372226807j),(-2.373440190995661-1.1893899435497348j),(-2.565455904378293-1.1678845949087089j),(-2.460036676114918-1.2380000241052622j),(-2.418123719945286-1.122734187403752j)
Y_N_c,850,(-0.05016106401316988-0.2760507045738154j),(1.425442890572985+1.4219781418938793j),(0.8895304310774182-0.05603995901312135j),(2.8950539799115673+2.114751845391572j),(-0.5754409691953513-0.33574233607080894j),(5.447149062282606+2.7048712454517116j),(-2.1071636495180806-0.19293360049642205j),(7.340649575644466+2.7171149644817105j),(-3.242566421317752+0.13884732522668397j),(7.562161532644975+2.121950069571416j),(-3.6472526249263337+0.43663301317760306j),(6.491952926751109+1.4950186998647255j),(-2.255628264857508+0.9887304263517784j),(4.836041019406016+1.1229984746752242j),(-0.299303073187776+1.1727985139130332j),(3.0877236208907934+1.010810477016163j),(1.564284813180588+1.0469858061962933j),(1.5247503515798115+1.0643226379370936j),(2.5029423744786516+0.8643133653961504j),(0.985288921954399+1.4325818500253682j),(2.6884846502454254+0.7411884473026835j),(1.3463635298689294+1.745381092029189j),(2.3867648636361123+0.7207915061860957j),(1.5942452223890213+1.5708330727032351j),(1.8191214880135946+0.7928030892463073j),(1.8212884496249306+1.1759634058678259j),(1.5360451211863961+1.1443229934697525j),(1.9547730281044098+0.8602063251686117j),(1.8097948169816438+1.4895164017328322j),(1.8920669158777537+0.6879731980814354j),(1.956188242480978+1.534444662874265j),(1.6648102983253388+0.6637545326712551j),(1.936885138726607+1.385553152188357j),(1.6397685211190387+0.9550955245723867j),(1.871766250184584+1.1526907457986368j),(1.8399174900180375+1.2257021461713047j),(1.7722657278765106+0.9528196148068437j),(1.9929109533843212+1.324572439220836j),(1.6168587117569126+0.8456025923835883j),(2.0158801959326427+1.297278228035762j),(1.6490380604187385+0.980938274215744j),(1.9172381889480936+1.193758462975048j),(1.764480174584563+1.1145596154186448j),(1.7930246490595843+1.060277340721753j),(1.9053616677880885+1.1745607955733925j),(1.6906921913082738+1.0008406181327134j),(1.958787862438414+1.1660487914333597j),(1.7134036386036025+1.072812142691867j),(1.9208708616142858+1.1218423958817423j),(1.774749943853522+1.1391091868223107j),(1.8028941600467772+1.0530681203458692j)
Y_N_c,950,(-0.02475832072584954+0.18679475033175236j),(-0.8699494219426223-1.154647435228023j),(-0.3656718280399858+0.1154174729153192j),(-2.262469157023381-1.8932295442081533j),(1.093557217829828+0.632389253118576j),(-4.603440935916177-2.708278494318808j),(2.7025865072736086+0.7424321770675293j),(-6.521002003841199-2.923240740927806j),(3.9550303304094943+0.5653710562553462j),(-7.086137661510562-2.325478581598527j),(4.4799911136888895+0.25489545686026327j),(-6.337811644975024-1.5096949312609642j),(3.4494820535172908-0.7763857766841902j),(-4.839534707324904-0.8860064928274787j),(1.7356644681820137-1.4729787274526227j),(-3.102676133441929-0.5435070418337103j),(-0.24952305891197893-1.2940603934446002j),(-1.4615611561240887-0.43002565970528694j),(-1.477364180811483-0.9444485833772416j),(-0.6242915437180063-0.9244565759127272j),(-1.9444161913911997-0.6175509712514301j),(-0.6577845407703323-1.5923119844102618j),(-1.8511837351243652-0.39554389188618894j),(-0.817401033847415-1.6763867695911772j),(-1.4101501295097676-0.2917387257657627j),(-1.0517251230334808-1.3028703281199403j),(-1.0449282238551563-0.6310584539101892j),(-1.2521823432394328-0.8591661769629972j),(-1.1565977485569485-1.181846608534705j),(-1.2834596187894798-0.5191445883468273j),(-1.2615793295576072-1.394683257909993j),(-1.1450837786793882-0.3245506280213983j),(-1.273356374857143-1.349963846353082j),(-1.053570045188711-0.5716345292152705j),(-1.2477230175577794-1.1082378475519348j),(-1.1677712606575414-0.9250130827998737j),(-1.1918875933539574-0.819634615664266j),(-1.3018219983711947-1.1168632542831503j),(-1.0720375201066301-0.6019832136828644j),(-1.3539064035858037-1.1518879287127521j),(-1.034823596405551-0.7062170829017734j),(-1.3078066018149368-1.0765095678401464j),(-1.0941333767338315-0.8622252421075765j),(-1.2251303730752525-0.9070496081852545j),(-1.2177654046951285-0.9712690285854135j),(-1.1294296218151962-0.7885729600974505j),(-1.2918115017220995-0.9947861857810316j),(-1.0996092877720245-0.842913018272496j),(-1.2961612773629683-0.9602846353765722j),(-1.1220359444700618-0.9148854051322599j),(-1.2275759721149317-0.8804415623038095j)
