ID;type;component;S;P;Q;X_sh
1;slack;MV_net;0;0;0;0.001
2;PQ;node;0;0;0;0
3;PQ;node;0;0;0;0
4;PQ;node;0;0;0;0
5;PQ;average_household;9500;9024;2964;0
6;PQ;average_household;9500;9024;2964;0
7;PQ;average_household;9500;9024;2964;0
8;PQ;average_household;9500;9024;2964;0
9;PQ;average_household;9500;9024;2964;0
10;PQ;average_household;9500;9024;2964;0
11;PQ;average_household;9500;9024;2964;0
12;PQ;average_household;9500;9024;2964;0
13;PQ;average_household;9500;9024;2964;0
14;PQ;average_household;9500;9024;2964;0
15;PQ;average_household;9500;9024;2964;0
16;PQ;average_household;9500;9024;2964;0
17;PQ;average_household;9500;9024;2964;0
18;PQ;average_household;9500;9024;2964;0
19;PQ;average_household;9500;9024;2964;0
20;PQ;average_household;9500;9024;2964;0
21;PQ;average_household;9500;9024;2964;0
22;PQ;average_household;9500;9024;2964;0
23;PQ;average_household;9500;9024;2964;0
24;PQ;average_household;9500;9024;2964;0
25;PQ;average_household;9500;9024;2964;0
26;nonlinear;EV_4;3700;3500;1200;0
27;nonlinear;EV_4;3700;3500;1200;0
28;nonlinear;EV_4;3700;3500;1200;0
29;nonlinear;EV_4;3700;3500;1200;0
30;nonlinear;EV_4;3700;3500;1200;0
31;nonlinear;EV_4;3700;3500;1200;0
32;nonlinear;EV_4;3700;3500;1200;0
33;nonlinear;EV_4;3700;3500;1200;0
34;nonlinear;EV_4;3700;3500;1200;0
35;nonlinear;EV_4;3700;3500;1200;0
36;nonlinear;EV_4;3700;3500;1200;0
37;nonlinear;EV_4;3700;3500;1200;0
38;nonlinear;EV_4;3700;3500;1200;0
39;nonlinear;EV_4;3700;3500;1200;0
40;nonlinear;EV_4;3700;3500;1200;0
41;nonlinear;EV_4;3700;3500;1200;0
42;nonlinear;EV_4;3700;3500;1200;0
43;nonlinear;EV_4;3700;3500;1200;0
44;nonlinear;EV_4;3700;3500;1200;0
45;nonlinear;EV_4;3700;3500;1200;0
46;nonlinear;EV_4;3700;3500;1200;0
47;nonlinear;EV_4;3700;3500;1200;0
48;nonlinear;EV_4;3700;3500;1200;0
49;nonlinear;EV_4;3700;3500;1200;0
50;nonlinear;EV_4;3700;3500;1200;0
51;nonlinear;EV_4;3700;3500;1200;0
52;nonlinear;EV_4;3700;3500;1200;0
53;nonlinear;EV_4;3700;3500;1200;0
54;nonlinear;EV_4;3700;3500;1200;0
55;nonlinear;EV_4;3700;3500;1200;0
56;nonlinear;EV_4;3700;3500;1200;0
57;nonlinear;EV_4;3700;3500;1200;0
58;nonlinear;EV_4;3700;3500;1200;0
59;nonlinear;EV_4;3700;3500;1200;0
60;nonlinear;EV_4;3700;3500;1200;0
61;nonlinear;EV_4;3700;3500;1200;0
