ID;type;component;S;P;Q;X_sh
1;slack;MV_net;0;0;0;0.005
2;PQ;node;0;0;0;0
3;PQ;node;0;0;0;0
4;PQ;node;0;0;0;0
5;PQ;average_household;9500;9024;2964;0
6;PQ;average_household;9500;9024;2964;0
7;PQ;average_household;9500;9024;2964;0
8;PQ;average_household;9500;9024;2964;0
9;PQ;average_household;9500;9024;2964;0
10;PQ;average_household;9500;9024;2964;0
11;PQ;average_household;9500;9024;2964;0
12;PQ;average_household;9500;9024;2964;0
13;PQ;average_household;9500;9024;2964;0
14;PQ;average_household;9500;9024;2964;0
15;PQ;average_household;9500;9024;2964;0
16;PQ;average_household;9500;9024;2964;0
17;PQ;average_household;9500;9024;2964;0
18;PQ;average_household;9500;9024;2964;0
19;PQ;average_household;9500;9024;2964;0
20;PQ;average_household;9500;9024;2964;0
21;PQ;average_household;9500;9024;2964;0
22;PQ;average_household;9500;9024;2964;0
23;PQ;average_household;9500;9024;2964;0
24;PQ;average_household;9500;9024;2964;0
25;PQ;average_household;9500;9024;2964;0
26;nonlinear;EV_4;3700;3500;1200;0
27;nonlinear;EV_1;111;110;13;0
28;nonlinear;EV_4;3700;3500;1200;0
29;nonlinear;EV_4;3700;3500;1200;0
30;nonlinear;EV_2;437;420;124;0
31;nonlinear;EV_4;3700;3500;1200;0
32;nonlinear;EV_1;111;110;13;0
33;nonlinear;EV_4;3700;3500;1200;0
34;nonlinear;EV_4;3700;3500;1200;0
35;nonlinear;EV_2;437;420;124;0
36;nonlinear;EV_4;3700;3500;1200;0
37;nonlinear;EV_4;3700;3500;1200;0
38;nonlinear;EV_2;437;420;124;0
39;nonlinear;EV_4;3700;3500;1200;0
40;nonlinear;EV_4;3700;3500;1200;0
41;nonlinear;EV_4;3700;3500;1200;0
42;nonlinear;EV_2;437;420;124;0
43;nonlinear;EV_1;111;110;13;0
44;nonlinear;EV_1;111;110;13;0
45;nonlinear;EV_4;3700;3500;1200;0
46;nonlinear;EV_2;437;420;124;0
47;nonlinear;EV_4;3700;3500;1200;0
48;nonlinear;EV_4;3700;3500;1200;0
49;nonlinear;EV_2;437;420;124;0
50;nonlinear;EV_4;3700;3500;1200;0
51;nonlinear;EV_1;111;110;13;0
52;nonlinear;EV_4;3700;3500;1200;0
53;nonlinear;EV_1;111;110;13;0
54;nonlinear;EV_4;3700;3500;1200;0
55;nonlinear;EV_4;3700;3500;1200;0
56;nonlinear;EV_1;111;110;13;0
57;nonlinear;EV_4;3700;3500;1200;0
58;nonlinear;EV_2;437;420;124;0
59;nonlinear;EV_4;3700;3500;1200;0
60;nonlinear;EV_4;3700;3500;1200;0
61;nonlinear;EV_2;437;420;124;0
62;nonlinear;EV_4;3700;3500;1200;0
63;nonlinear;EV_4;3700;3500;1200;0
64;nonlinear;EV_4;3700;3500;1200;0
65;nonlinear;EV_2;437;420;124;0
66;nonlinear;EV_2;437;420;124;0
67;nonlinear;EV_4;3700;3500;1200;0
68;nonlinear;EV_2;437;420;124;0
69;nonlinear;EV_2;437;420;124;0
70;nonlinear;EV_4;3700;3500;1200;0
71;nonlinear;EV_4;3700;3500;1200;0
72;nonlinear;EV_2;437;420;124;0
73;nonlinear;EV_4;3700;3500;1200;0
74;nonlinear;EV_4;3700;3500;1200;0
75;nonlinear;EV_4;3700;3500;1200;0
76;nonlinear;EV_1;111;110;13;0
77;nonlinear;EV_4;3700;3500;1200;0
78;nonlinear;EV_2;437;420;124;0
79;nonlinear;EV_4;3700;3500;1200;0
80;nonlinear;EV_1;111;110;13;0
81;nonlinear;EV_4;3700;3500;1200;0
82;nonlinear;EV_4;3700;3500;1200;0
83;nonlinear;EV_2;437;420;124;0
84;nonlinear;EV_4;3700;3500;1200;0
85;nonlinear;EV_4;3700;3500;1200;0
86;nonlinear;EV_4;3700;3500;1200;0
87;nonlinear;EV_4;3700;3500;1200;0
88;nonlinear;EV_1;111;110;13;0
89;nonlinear;EV_1;111;110;13;0
90;nonlinear;EV_4;3700;3500;1200;0
91;nonlinear;EV_4;3700;3500;1200;0
92;nonlinear;EV_4;3700;3500;1200;0
93;nonlinear;EV_1;111;110;13;0
94;nonlinear;EV_2;437;420;124;0
95;nonlinear;EV_2;437;420;124;0
96;nonlinear;EV_2;437;420;124;0
97;nonlinear;EV_4;3700;3500;1200;0
