ID;type;component;S;P;Q;X_sh
1;slack;MV_net;0;0;0;0.005
2;PQ;node;0;0;0;0
3;PQ;node;0;0;0;0
4;PQ;node;0;0;0;0
5;PQ;average_household;9500;9024;2964;0
6;PQ;average_household;9500;9024;2964;0
7;PQ;average_household;9500;9024;2964;0
8;PQ;average_household;9500;9024;2964;0
9;PQ;average_household;9500;9024;2964;0
10;PQ;average_household;9500;9024;2964;0
11;PQ;average_household;9500;9024;2964;0
12;PQ;average_household;9500;9024;2964;0
13;PQ;average_household;9500;9024;2964;0
14;PQ;average_household;9500;9024;2964;0
15;PQ;average_household;9500;9024;2964;0
16;PQ;average_household;9500;9024;2964;0
17;PQ;average_household;9500;9024;2964;0
18;PQ;average_household;9500;9024;2964;0
19;PQ;average_household;9500;9024;2964;0
20;PQ;average_household;9500;9024;2964;0
21;PQ;average_household;9500;9024;2964;0
22;PQ;average_household;9500;9024;2964;0
23;PQ;average_household;9500;9024;2964;0
24;PQ;average_household;9500;9024;2964;0
25;PQ;average_household;9500;9024;2964;0
